,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2022-12-01 00:00:00-05:00,250.25954202693538,250.25954202693538,245.89277116048237,248.58001708984375,1061000,0.0,0.0
1,2022-12-02 00:00:00-05:00,245.3889144638013,256.56271255113523,243.7093744772576,254.6460723876953,1769300,0.0,0.0
2,2022-12-05 00:00:00-05:00,250.69425543197616,253.4111389883818,249.87424876776558,250.5361785888672,1431600,0.0,0.0
3,2022-12-06 00:00:00-05:00,251.34631740266246,252.47258855672436,246.37689147004357,250.4077606201172,1150600,0.0,0.0
4,2022-12-07 00:00:00-05:00,250.3089626747747,252.3836798681572,246.9795500604309,248.09593200683594,1285700,0.0,0.0
5,2022-12-08 00:00:00-05:00,248.491109832281,251.51425779865644,246.87085990569247,251.3858184814453,1153900,0.0,0.0
6,2022-12-09 00:00:00-05:00,251.12896948589562,252.14656470810024,248.91593881695454,249.83474731445312,972700,0.0,0.0
7,2022-12-12 00:00:00-05:00,251.61304693063872,251.61304693063872,246.03109224115622,250.82269287109375,1402700,0.0,0.0
8,2022-12-13 00:00:00-05:00,258.72634230180677,262.441072542913,251.95882668067057,255.74269104003906,1312700,0.0,0.0
9,2022-12-14 00:00:00-05:00,250.94124470194555,255.81186871152045,245.64579106113922,245.685302734375,1742900,0.0,0.0
10,2022-12-15 00:00:00-05:00,243.04744942461795,243.04744942461795,238.3250131923428,241.24937438964844,1324600,0.0,0.0
11,2022-12-16 00:00:00-05:00,239.09563645040808,240.60721051845346,235.63778451631043,237.57418823242188,2295300,0.0,0.0
12,2022-12-19 00:00:00-05:00,236.78381102792355,238.7004513040913,234.2941534988267,235.2425994873047,1026100,0.0,0.0
13,2022-12-20 00:00:00-05:00,234.234877360815,237.5939424407947,233.57294753940147,235.70693969726562,952800,0.0,0.0
14,2022-12-21 00:00:00-05:00,236.59610800772305,239.39203013411247,235.64767704879415,239.29324340820312,1046500,0.0,0.0
15,2022-12-22 00:00:00-05:00,236.29969986100107,238.6214063328505,234.85729015617997,238.39418029785156,934200,0.0,0.0
