,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Squared,Close_Cubed,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Lower_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Cos_Close,Moving_Average_15,Long_EMA,Upper_Band,Price_RoC_60,Price_RoC_45,Signal_Line,MACD,Price_RoC_30,Sin_Close,RSI,Price_RoC_15,Price_RoC_12,RS,Std_Dev_RoC_10,Price_RoC_10,Price_RoC_7,Z_Score,Std_Dev_RoC_5,Price_RoC_5,Rolling_Std,Price_RoC_3,Expanding_Mean,Log_Returns,Price_RoC,Loss,Price_Delta,Gain,Tan_Close
10,0.01,0.01,0.01,,0.02,0.03,0.01,0.01,,,0.01,0.01,,,0.17,0.01,0.01,,0.1,0.34,0.05,0.16,0.2,,0.18,0.72,1.15,0.46,0.17,1.65,5.57,,0.2,,0.23,,,,,1.69,,1.26,
11,0.03,0.03,0.01,0.01,0.05,0.08,0.03,0.03,0.03,0.03,0.04,0.02,0.03,0.03,,0.02,0.01,0.03,0.5,0.79,1.32,,4.33,,0.3,,,0.45,0.25,,,,0.26,,0.25,,,,,1.33,,1.82,1.15
12,0.02,0.02,0.01,0.01,0.03,0.05,0.02,0.01,0.01,0.01,,0.01,,,,0.01,0.01,,2.44,1.16,,,,,0.21,,,0.39,0.29,,,,0.31,,0.12,,,,,1.24,,1.13,0.48
13,0.02,0.02,0.01,0.01,0.04,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,288.5,,,,,,0.15,,,0.25,0.17,,,,0.28,,0.23,,,,,1.0,,2.37,0.36
14,0.02,0.02,0.01,0.01,0.03,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,,0.18,,,0.27,0.23,,,,0.34,,0.1,,,,,1.58,,1.14,0.42
15,0.03,0.03,0.02,0.01,0.07,0.1,0.03,0.03,0.02,0.02,0.03,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,,0.14,,,0.28,0.19,,,,0.34,,0.42,,,,,1.16,,1.72,1.89
16,0.04,0.04,0.02,0.01,0.08,0.11,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,,,0.01,0.04,,,,,,,0.2,5.76,2.0,0.37,0.39,1.88,0.94,1.3,0.35,1.25,0.31,2.09,,3.03,3.0,1.35,3.1,1.74,0.81
17,0.02,0.02,0.01,0.01,0.05,0.07,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,,0.02,0.01,0.02,7.8,1.05,0.86,0.4,0.34,,0.11,0.33,0.6,0.32,0.29,0.49,0.75,0.7,0.27,1.28,0.11,1.86,,3.32,3.27,1.53,3.33,1.86,0.5
18,0.04,0.04,0.02,0.01,0.07,0.11,0.04,0.04,0.03,0.02,0.01,0.02,0.02,0.02,1.93,0.02,0.02,0.04,0.81,0.43,0.2,0.23,0.44,,0.11,0.5,0.24,0.39,0.34,0.4,0.87,0.71,0.41,1.0,0.46,1.06,,1.52,1.52,2.2,1.53,1.06,3.16
19,0.04,0.04,0.02,0.01,0.07,0.1,0.04,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.19,0.03,0.02,0.04,0.27,0.19,0.16,0.14,0.18,,0.09,0.36,0.35,0.44,0.09,0.29,0.51,0.68,0.38,1.12,0.24,2.02,,4.16,4.03,1.36,4.24,1.77,
20,0.01,0.01,0.01,,0.02,0.04,0.01,0.01,,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.08,0.09,0.06,0.11,0.2,1.44,0.13,0.55,1.03,0.32,0.18,1.41,2.62,1.73,0.46,1.98,0.47,1.92,,7.97,7.54,1.76,7.96,1.15,1.45
21,0.02,0.02,0.01,0.01,0.05,0.07,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.05,,,0.01,0.2,0.1,0.25,0.37,0.44,,0.17,,,0.33,0.18,,,,0.36,,0.26,,,14.27,12.74,1.3,13.86,1.66,
22,0.03,0.03,0.01,0.01,0.05,0.08,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03,,,,0.31,0.37,0.25,0.64,3.71,,0.09,7.86,18.4,0.16,0.23,24.68,,,0.31,,0.15,,,,,1.35,,1.76,
23,0.02,0.02,0.01,0.01,0.03,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,,0.01,0.13,0.76,0.33,1.52,,68.91,0.19,,,0.37,0.18,6.42,1.19,1.17,0.19,1.13,0.23,1.15,,3.55,3.46,2.34,3.53,1.3,
24,0.02,0.02,0.01,0.01,0.05,0.07,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.03,0.16,0.63,0.4,0.44,0.38,0.59,0.08,0.39,0.22,0.33,0.48,0.44,0.77,0.59,0.37,0.82,0.49,1.41,,3.02,2.98,1.1,3.02,1.42,0.73
25,0.01,0.01,0.01,0.01,0.03,0.04,0.01,0.01,0.01,,0.01,,,,0.12,,,,0.83,0.58,0.04,0.1,0.13,0.28,0.11,0.42,0.62,0.26,0.1,0.69,4.65,,0.21,,0.13,,,,,1.64,,,0.35
