,Feature,Importance
17,Expanding_Mean,0.08832453
16,Long_EMA,0.018577363
9,EMA,0.01110143
15,Moving_Average_15,0.010052016
12,Moving_Average_10,0.0073315627
4,Close_Squared,0.006388253
11,Rolling_Mean,0.0058367625
14,Upper_Band,0.0056650303
3,Log_Close,0.005542372
6,Close_Inverse,0.004755544
13,Lower_Band,0.0034387503
2,Square_Root_Close,0.0029099926
8,Moving_Average_5,0.002899772
5,Moving_Average_3,0.0028957608
7,Close_Cubed,0.0026201669
0,Cumulative_Returns,0.0017700307
10,Short_EMA,0.0016080787
1,Close,0.0014144972
