,Feature,Importance
16,Expanding_Mean,0.08983588
15,Long_EMA,0.007162639
2,Square_Root_Close,0.005145599
4,Close_Squared,0.0049031004
0,Close,0.003996617
1,Cumulative_Returns,0.0036553945
5,Close_Inverse,0.003496301
13,Moving_Average_15,0.0033608754
10,Rolling_Mean,0.0026933025
14,Upper_Band,0.0026291746
12,Lower_Band,0.0023029265
6,Moving_Average_3,0.0022409894
7,Moving_Average_5,0.0019629786
8,EMA,0.0018051655
11,Moving_Average_10,0.0013007754
3,Log_Close,0.0011339394
9,Short_EMA,0.0010203015
