,Feature,Importance
16,Expanding_Mean,0.09172139
14,Long_EMA,0.012124663
5,Moving_Average_3,0.008580973
8,Close_Inverse,0.0067678774
2,Square_Root_Close,0.006623936
6,Moving_Average_5,0.0058782254
10,Rolling_Mean,0.0056809764
13,Moving_Average_15,0.0049282005
11,Moving_Average_10,0.0047223433
15,Lower_Band,0.004597522
1,Cumulative_Returns,0.0030503278
9,Short_EMA,0.0030418579
3,Close_Squared,0.0029441945
12,Upper_Band,0.0024637426
0,Close,0.0022313592
7,EMA,0.0022284542
4,Log_Close,0.0010259174
