,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Squared,Moving_Average_3,Close_Cubed,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean,MACD,Cos_Close,Rolling_Std,Signal_Line,Price_RoC_15,Price_RoC_12,Price_RoC_10,RSI,RS,Price_RoC_7,Price_RoC_30,Price_RoC_5,Z_Score,Gain,Sin_Close,Price_RoC_3,Price_RoC_60,Price_Delta,Std_Dev_RoC_5,Log_Returns,Price_RoC,Loss,Price_RoC_45,Std_Dev_RoC_10,Tan_Close
0,0.07,0.07,0.04,0.02,0.14,0.08,0.2,0.08,0.08,0.07,0.06,0.11,0.07,0.07,0.06,0.06,0.1,0.02,0.22,2.61,0.49,0.19,0.34,0.39,0.43,0.08,0.37,0.95,0.22,1.59,1.08,1.74,1.23,2.02,0.22,3.97,0.57,3.84,3.67,1.71,0.24,0.44,1.81
1,0.03,0.03,0.01,0.01,0.06,0.02,0.09,0.03,0.02,0.01,0.01,0.03,0.03,0.03,0.01,0.01,0.02,0.01,0.35,0.14,0.19,0.24,5.11,,,0.32,0.57,,0.17,,,1.27,,,0.12,21.88,0.42,22.89,17.95,1.32,0.15,0.36,
2,0.02,0.02,0.01,0.01,0.05,0.02,0.07,0.02,0.01,,,,0.01,0.01,0.01,0.01,0.03,0.01,0.16,0.28,0.23,0.12,2.17,0.59,0.47,0.14,0.32,1.89,0.18,3.15,1.52,1.03,0.79,6.6,0.15,19.77,0.33,20.3,16.64,2.14,0.2,0.37,1.01
3,0.07,0.07,0.04,0.02,0.14,0.06,0.21,0.08,0.04,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.34,,0.17,0.14,1.12,1.06,1.35,0.21,0.53,3.35,1.79,16.08,5.27,1.89,2.61,,0.3,,0.49,,,1.27,0.39,0.4,
4,0.05,0.05,0.03,0.02,0.11,0.04,0.16,0.05,0.03,0.02,0.01,0.07,0.04,0.04,0.03,0.01,0.03,0.01,,0.81,0.36,4.99,,,,0.2,0.37,,,26.11,9.02,1.51,,5.56,0.22,3.22,0.43,3.36,3.23,1.74,6.85,0.21,2.41
5,0.03,0.03,0.02,0.01,0.06,0.03,0.1,0.03,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.03,0.01,0.68,0.72,0.18,1.53,0.68,1.02,1.28,0.14,0.39,3.73,7.68,,9.18,1.32,0.69,,0.43,,0.35,,,1.08,0.66,0.3,2.37
6,0.15,0.15,0.08,0.05,0.28,0.16,0.38,0.18,0.16,0.12,0.12,0.18,0.12,0.12,0.08,0.08,0.12,0.02,0.69,9.86,0.46,0.82,0.55,0.64,0.65,0.16,0.42,0.73,0.89,0.8,0.97,1.34,,1.13,0.7,1.81,0.51,1.99,2.01,2.35,0.52,0.41,
7,0.05,0.05,0.02,0.01,0.09,0.05,0.14,0.05,0.05,0.02,0.01,0.02,0.02,0.02,0.04,0.02,0.04,0.01,0.29,,0.19,0.1,0.9,2.03,8.84,0.25,0.6,,0.3,,,1.53,1.86,,0.21,,0.44,,,1.1,0.42,0.27,
8,0.02,0.02,0.01,0.01,0.04,0.01,0.06,0.02,0.01,,,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.22,,0.29,0.2,,,,0.21,0.35,1.8,0.15,2.1,2.06,1.85,0.22,5.84,0.18,,0.38,,,1.18,0.12,0.25,
9,0.04,0.04,0.02,0.01,0.08,0.03,0.12,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,0.01,0.51,,0.18,0.24,2.97,14.78,15.33,0.19,0.49,,8.76,,,1.59,1.31,,0.27,13.06,0.44,13.03,10.81,1.55,0.24,0.14,3.4
10,0.06,0.06,0.03,0.02,0.12,0.05,0.18,0.06,0.04,0.03,0.03,0.01,0.02,0.02,0.02,0.01,0.05,0.01,,2.94,0.31,1.53,,,,0.23,0.38,,,,,2.11,24.0,,0.41,,0.48,,,0.95,1.3,0.11,
11,0.03,0.03,0.02,0.01,0.07,0.03,0.1,0.03,0.02,0.01,0.01,0.04,0.02,0.02,0.02,0.01,0.01,,,1.3,0.36,,,,,0.29,0.47,,,3.75,4.74,1.6,,2.1,0.31,4.33,0.32,4.44,4.28,1.3,,0.36,
12,0.07,0.07,0.04,0.02,0.14,0.08,0.2,0.08,0.08,0.07,0.06,0.1,0.07,0.07,0.05,0.04,0.05,0.01,0.85,0.92,0.35,2.89,0.41,0.41,0.33,0.09,0.41,0.37,1.2,0.86,0.5,1.58,,1.41,1.26,2.46,0.57,2.33,2.32,1.43,0.54,0.15,
13,0.09,0.09,0.05,0.03,0.18,0.1,0.27,0.09,0.09,0.06,0.05,0.03,0.06,0.06,0.02,0.02,0.11,,2.71,,0.28,0.64,,,,0.62,0.87,,1.36,,,2.52,,,,,0.58,,,1.0,,0.29,2.91
14,0.02,0.02,0.01,0.01,0.04,0.01,0.06,0.02,0.01,,0.01,0.04,0.01,0.01,0.03,0.01,0.04,,,0.13,0.49,,,,,0.41,0.73,2.31,2.99,1.19,1.94,1.62,,3.38,,,0.68,,,1.51,,0.22,
15,0.04,0.04,0.02,0.01,0.08,0.03,0.12,0.04,0.03,0.03,0.02,0.02,0.03,0.03,0.01,0.02,0.03,,,,0.13,,,,,0.18,0.32,,,,,1.5,,,,,0.52,,,1.39,,0.18,3.27
16,0.04,0.04,0.02,0.01,0.08,0.04,0.13,0.04,0.03,0.02,0.01,0.03,0.02,0.02,0.01,,0.02,,,6.52,0.3,,,7.74,2.77,0.18,0.33,1.43,,1.53,1.66,1.46,,1.93,,5.87,0.44,5.67,5.18,1.46,,0.35,3.16
17,0.04,0.04,0.02,0.01,0.08,0.04,0.12,0.05,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.02,0.02,,0.79,,0.12,7.58,0.39,0.43,0.51,0.1,0.21,0.5,0.94,1.07,0.63,1.71,0.89,1.71,0.76,2.71,0.16,2.76,2.74,1.98,,0.07,
