,Feature,Importance
17,Expanding_Mean,0.09718191
5,Moving_Average_3,0.0065380908
6,Close_Cubed,0.004361779
14,Moving_Average_15,0.0038184808
7,Close_Inverse,0.003774681
3,Close_Squared,0.003594432
12,Moving_Average_10,0.002931259
2,Square_Root_Close,0.0027641212
10,Short_EMA,0.0025168182
8,Moving_Average_5,0.002294225
0,Close,0.002252771
16,Long_EMA,0.0018179964
1,Cumulative_Returns,0.0017682653
13,Upper_Band,0.0015268183
9,EMA,0.0014536319
11,Rolling_Mean,0.0013697193
4,Log_Close,0.0011879941
15,Lower_Band,0.0008242872
