,Feature,Importance
17,Expanding_Mean,0.11222522
7,Moving_Average_3,0.010231545
5,Close_Inverse,0.008834875
8,Moving_Average_5,0.008586997
16,Long_EMA,0.007346656
14,Upper_Band,0.0071480228
3,Log_Close,0.005847587
15,Moving_Average_15,0.005550659
11,Rolling_Mean,0.0048230044
9,EMA,0.0046002194
1,Cumulative_Returns,0.0039743176
4,Close_Squared,0.003007459
13,Lower_Band,0.0029549343
6,Close_Cubed,0.002884381
12,Moving_Average_10,0.0025407546
0,Close,0.0023915102
10,Short_EMA,0.001891559
2,Square_Root_Close,0.0014007982
