,Feature,Importance
17,Expanding_Mean,0.083273366
16,Long_EMA,0.016336817
2,Square_Root_Close,0.0071800686
7,Moving_Average_3,0.00664038
8,Moving_Average_5,0.0062089665
5,Close_Cubed,0.006197027
10,Short_EMA,0.00513903
6,Close_Inverse,0.0047430163
9,EMA,0.0045716455
3,Log_Close,0.004426238
12,Moving_Average_10,0.0037322033
11,Rolling_Mean,0.0026715375
0,Close,0.002583252
15,Moving_Average_15,0.002550443
1,Cumulative_Returns,0.0021534374
13,Lower_Band,0.0020753709
4,Close_Squared,0.001406134
14,Upper_Band,0.00085395155
