,Feature,Importance
17,Expanding_Mean,0.095432006
5,Close_Inverse,0.005821185
16,Long_EMA,0.004595305
8,Moving_Average_5,0.0042742747
9,EMA,0.003695051
2,Square_Root_Close,0.0035100374
3,Log_Close,0.0029742373
15,Moving_Average_15,0.0027878797
6,Close_Cubed,0.0025409132
0,Cumulative_Returns,0.0023487075
12,Moving_Average_10,0.0022568915
1,Close,0.0022047842
7,Moving_Average_3,0.002197498
11,Rolling_Mean,0.0020912515
14,Lower_Band,0.0020670122
10,Short_EMA,0.0015954617
13,Upper_Band,0.0015346233
4,Close_Squared,0.0013132157
