,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Squared,Moving_Average_3,Close_Inverse,Close_Cubed,Moving_Average_5,EMA,Short_EMA,Lower_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Price_RoC_45,Price_RoC_60,Signal_Line,MACD,Price_RoC_30,Expanding_Mean,Std_Dev_RoC_10,Price_RoC_15,Std_Dev_RoC_5,Price_RoC_12,Price_RoC_10,Rolling_Std,Price_RoC_7,RSI,RS,Price_RoC_5,Price_RoC_3,Loss,Price_Delta,Log_Returns,Price_RoC,Z_Score,Cos_Close,Tan_Close,Gain,Sin_Close
10,0.01,0.01,,,0.02,0.01,0.01,0.03,,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.14,0.1,0.02,0.09,0.13,,0.21,0.31,0.35,0.76,1.15,0.44,1.75,0.09,0.26,6.98,,1.31,,,,2.28,,1.5,2.12,0.75
11,0.02,0.02,0.01,,0.03,0.02,0.01,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,,0.02,0.22,0.14,0.43,0.94,0.62,,0.21,,0.57,,,0.2,,0.24,0.34,,,1.6,,,,,4.32,2.24,1.24,
12,0.01,0.01,0.01,,0.03,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.73,0.28,,,,,0.15,,0.2,,,0.18,,0.19,0.31,,,1.32,,,,,,,1.22,2.47
13,0.02,0.02,0.01,,0.04,0.02,0.02,0.06,0.01,0.01,0.01,0.01,,,0.01,0.01,,,0.53,,,,,0.18,,0.28,,,0.31,,0.11,0.2,,,1.42,,,,,,,1.79,2.27
14,0.01,0.01,0.01,,0.03,0.01,0.01,0.04,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,,,,,,,0.3,,0.51,,,0.22,,0.38,0.48,,,0.82,,,,,,,2.69,
15,0.03,0.03,0.01,0.01,0.05,0.02,0.03,0.08,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,,,,,,0.13,,0.79,,,0.49,,0.15,0.22,,,1.37,,,,,,,1.3,
16,0.01,0.01,,,0.01,0.01,0.01,0.02,0.01,,,0.01,,,,,0.01,,,,,,,0.17,,0.34,,,0.37,3.05,0.07,0.14,1.75,2.14,1.56,2.41,2.41,2.4,1.37,,,1.38,0.19
17,0.01,0.01,,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,,,,,1.29,,0.41,0.43,0.32,0.42,0.3,0.21,0.43,0.06,0.25,0.88,1.26,1.88,2.05,2.04,2.04,0.47,,0.87,1.3,
18,0.01,0.01,,,0.02,,0.01,0.03,,,,,,,,,,,,0.7,0.22,1.23,,0.18,1.07,0.23,1.2,3.83,0.21,24.4,0.15,0.35,,,1.13,,,,,,,1.43,
19,0.03,0.03,0.01,0.01,0.06,0.02,0.03,0.09,0.01,0.01,0.01,0.02,,,,,0.01,10.97,,0.35,1.46,1.16,,0.31,,0.49,,,0.44,,0.18,0.35,,,1.74,,,,,2.27,,1.11,
20,0.01,0.01,0.01,,0.02,0.01,0.01,0.03,,,,0.01,0.01,0.01,0.01,,0.02,1.67,,,,,,0.23,,0.41,,,0.46,,0.13,0.21,,,1.62,,,,,,26.01,1.43,0.6
21,0.13,0.13,0.07,0.03,0.24,0.1,0.14,0.33,0.06,0.05,0.04,0.13,0.04,0.04,0.02,0.02,0.05,,,,,,,0.8,,1.17,,,0.97,,0.59,0.72,,,2.68,,,,,0.88,,1.75,
22,0.03,0.03,0.02,0.01,0.06,0.03,0.03,0.1,0.02,0.03,0.03,0.08,0.05,0.05,0.06,0.03,0.14,,,,,,,0.26,,0.63,,,0.64,,0.33,0.36,,7.06,1.68,28.59,28.0,20.8,,,,1.58,1924.59
23,0.01,0.01,,,0.02,0.01,0.01,0.03,0.01,,,0.01,0.01,0.01,,0.01,0.02,,,,,,,0.56,,0.44,,,0.43,,0.17,0.33,5.28,1.85,1.56,9.66,9.61,9.06,3.95,,7.82,1.18,
24,0.01,0.01,0.01,,0.03,0.01,0.01,0.04,0.01,,,,,,,0.01,,,,,,,,0.4,3.0,0.37,2.68,4.84,0.15,6.25,0.08,0.17,4.27,3.8,1.97,4.43,4.47,4.37,4.76,,2.68,1.23,
25,0.03,0.03,0.01,0.01,0.05,0.02,0.03,0.08,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.03,,,,,0.13,,0.4,0.44,0.44,0.5,0.4,0.36,0.43,0.1,0.32,0.33,0.48,2.0,1.22,1.23,1.23,0.23,3.48,,1.18,2.54
