,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Close_Squared,Log_Close,Moving_Average_5,EMA,Upper_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Close_Cubed,Long_EMA,Moving_Average_15,Close_Inverse,Lower_Band,Expanding_Mean,Rolling_Std,MACD,Price_RoC_60,Signal_Line,RS,Price_RoC_45,RSI,Price_RoC_15,Price_RoC_12,Price_RoC_10,Cos_Close,Price_RoC_7,Price_RoC_30,Gain,Z_Score,Price_RoC_5,Price_RoC_3,Std_Dev_RoC_10,Price_Delta,Tan_Close,Sin_Close,Log_Returns,Price_RoC,Std_Dev_RoC_5,Loss
10,0.05,0.05,0.03,0.04,0.1,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.15,0.01,0.01,0.05,0.04,0.01,0.44,0.37,0.33,0.16,0.39,0.39,0.18,,,,2.65,,0.39,2.05,,,,0.38,,,,,,0.31,1.65
11,0.03,0.03,0.02,0.03,0.06,0.01,0.03,0.03,0.05,0.03,0.03,0.03,0.09,0.01,0.03,0.03,0.03,0.01,0.32,,0.39,3.45,0.22,0.41,0.14,,,,,,,1.58,,,,0.2,,5.66,1.26,,,0.34,1.37
12,0.03,0.03,0.02,0.04,0.07,0.01,0.04,0.03,0.04,0.02,0.03,0.03,0.1,0.01,0.02,0.03,0.03,0.01,0.12,2.34,0.19,,0.86,0.34,0.23,1.15,0.65,0.37,2.44,0.26,,1.01,0.32,0.26,0.73,0.23,2.33,1.56,,2.25,2.19,0.23,2.9
13,0.05,0.05,0.03,0.05,0.1,0.01,0.04,0.02,0.01,0.02,0.02,0.02,0.15,0.01,0.01,0.05,0.05,0.01,0.37,1.18,0.53,0.36,0.78,,0.32,2.85,,,101.71,,,1.61,,,,0.37,,,,,,0.34,1.34
14,0.03,0.03,0.01,0.02,0.06,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.08,,0.01,0.03,0.01,,0.27,,11.7,,0.48,,0.24,,,,,1.61,0.63,1.3,1.61,1.26,1.94,0.26,20.06,1.87,,20.1,16.03,0.35,1.6
15,0.05,0.05,0.02,0.03,0.09,0.01,0.03,0.02,0.01,0.02,0.02,0.02,0.14,0.01,0.01,0.05,0.03,,0.18,,,,0.3,2.2,0.15,,,,,,,1.31,,,,0.12,,2.56,8.6,,,0.52,1.1
16,0.12,0.12,0.06,0.13,0.24,0.03,0.11,0.07,0.13,0.06,0.06,0.06,0.34,0.03,0.03,0.13,0.06,0.01,0.57,2.47,1.71,,0.55,1.32,0.26,1.55,1.32,1.17,,0.95,1.51,1.45,1.05,1.06,1.25,0.55,1.93,4.15,,1.88,1.89,0.68,2.44
17,0.03,0.03,0.01,0.03,0.06,0.01,0.03,0.04,0.02,0.04,0.04,0.04,0.09,0.03,0.06,0.03,0.1,0.01,0.5,0.11,0.08,0.25,0.29,0.29,0.07,0.19,0.48,0.62,0.79,0.65,0.12,1.0,0.35,0.62,0.88,0.35,1.55,2.51,7.67,1.54,1.53,0.8,1.99
18,0.04,0.04,0.02,0.03,0.07,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.11,0.01,0.01,0.04,0.03,0.01,0.44,0.28,0.31,0.11,0.67,0.19,0.3,1.37,3.88,267.53,1.54,,0.17,2.07,,,,0.39,,1.84,,,,0.29,1.39
19,0.03,0.03,0.01,0.02,0.05,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.08,,0.02,0.03,0.01,0.01,0.22,0.7,0.18,0.38,0.18,0.19,0.11,,,,,,1.07,1.01,,,,0.41,,,,,,0.26,1.57
20,0.04,0.04,0.02,0.04,0.08,0.01,0.03,0.02,0.01,0.02,0.02,0.02,0.12,0.01,0.01,0.04,0.04,,0.36,,0.42,14.77,0.34,0.18,0.21,,,,,,,1.13,,,,0.13,,3.47,6.86,,,0.37,1.65
21,0.06,0.06,0.03,0.06,0.13,0.02,0.05,0.03,0.06,0.03,0.03,0.03,0.19,0.01,0.01,0.06,0.01,,0.44,,0.47,,0.98,14.97,0.3,3.74,2.49,2.01,3.72,1.0,,1.46,1.15,0.86,1.41,0.65,2.2,3.57,1.21,2.26,2.24,0.43,1.89
22,0.04,0.04,0.02,0.03,0.08,0.01,0.03,0.03,0.03,0.03,0.04,0.04,0.11,0.03,0.04,0.04,0.06,0.01,0.29,0.26,0.43,0.46,0.21,0.79,0.03,0.2,0.25,0.33,,0.38,0.45,1.05,0.32,0.47,0.64,0.43,2.04,19.7,,2.08,2.04,0.47,2.46
23,0.04,0.04,0.02,0.03,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.02,0.02,0.04,0.02,0.01,0.17,0.18,0.46,0.06,0.52,0.23,0.19,0.64,1.02,1.49,9.6,3.49,0.26,1.19,7.68,,,0.49,,,,,,0.57,2.17
24,0.03,0.03,0.01,0.03,0.06,0.01,0.02,0.01,0.01,0.01,,,0.09,0.01,,0.03,0.01,0.01,0.09,0.13,0.38,0.13,0.2,0.22,0.11,,,,,6.35,0.41,1.01,5.04,4.59,5.24,0.4,26.44,11.88,,25.64,19.2,0.33,1.5
25,0.01,0.01,,,0.02,,,,,,,,0.02,,,0.01,,,0.03,0.11,0.18,0.1,0.1,0.08,0.04,7.45,0.53,4.76,,,0.23,2.0,,,1.98,0.15,4.52,0.95,,4.52,4.47,0.13,0.68
