,Cumulative_Returns,Close,Square_Root_Close,Moving_Average_3,Moving_Average_5,Close_Squared,Log_Close,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Lower_Band,Upper_Band,Close_Cubed,Moving_Average_15,Long_EMA,Close_Inverse,Expanding_Mean,Signal_Line,Price_RoC_60,MACD,Price_RoC_45,RSI,Price_RoC_30,Rolling_Std,Std_Dev_RoC_10,RS,Z_Score,Price_RoC_15,Price_RoC_12,Gain,Price_RoC_10,Std_Dev_RoC_5,Cos_Close,Price_RoC_7,Price_RoC_5,Price_RoC_3,Price_Delta,Log_Returns,Price_RoC,Loss,Tan_Close,Sin_Close
12,0.04,0.04,0.02,0.05,0.05,0.08,0.01,0.04,0.03,0.04,0.04,0.03,0.06,0.12,0.03,0.02,0.04,,7.69,0.89,1.13,0.55,0.11,2.95,0.31,0.19,0.31,0.43,0.46,0.52,0.94,0.42,0.35,,0.47,0.84,1.03,2.17,2.09,2.05,2.04,,15.3
13,0.03,0.03,0.01,0.03,0.03,0.05,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.08,0.01,,0.03,,0.23,0.57,0.65,2.38,0.31,0.71,0.22,0.32,0.58,,2.48,,1.98,,0.35,,,,,,,,1.16,1.39,
14,0.05,0.05,0.03,0.05,0.04,0.11,0.01,0.03,0.02,0.02,0.02,0.01,0.05,0.16,0.01,0.01,0.05,,0.46,0.59,0.95,1.55,0.25,0.42,0.4,0.34,0.54,0.78,3.05,1.68,0.97,1.28,0.34,16.11,0.86,0.72,1.2,2.61,2.63,2.52,2.29,,
15,0.04,0.04,0.02,0.03,0.03,0.08,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.12,0.02,0.01,0.04,,0.14,0.92,0.44,0.3,0.23,1.42,0.35,0.27,0.44,,1.0,2.56,2.14,6.99,0.48,13.32,,,,,,,1.3,12.7,
16,0.04,0.04,0.02,0.04,0.03,0.09,0.01,0.02,0.02,0.01,0.01,0.01,0.03,0.13,0.01,0.01,0.04,,0.39,0.41,1.48,0.35,0.3,0.65,0.26,0.36,0.57,1.49,,,0.95,9.03,0.24,1.68,2.02,1.3,0.72,1.64,1.62,1.61,1.84,,3.38
17,0.02,0.02,0.01,0.03,0.03,0.05,,0.03,0.03,0.04,0.04,0.05,0.03,0.07,0.03,0.02,0.03,,0.36,0.07,0.24,0.31,0.08,0.32,0.13,0.43,0.24,0.22,0.24,0.15,1.19,0.2,0.31,,0.35,0.42,0.83,1.68,1.68,1.68,1.96,,
18,0.01,0.01,0.01,0.01,0.01,0.03,,0.02,0.02,0.02,0.02,0.02,0.01,0.04,0.02,0.02,0.01,0.01,0.06,0.07,0.04,0.11,0.05,0.28,0.18,0.16,0.19,0.39,0.35,0.45,1.64,0.38,0.29,,0.51,0.79,1.25,4.17,4.15,4.09,1.42,,
19,0.03,0.03,0.01,0.04,0.04,0.05,0.01,0.03,0.03,0.03,0.03,0.03,0.05,0.08,0.03,0.03,0.03,0.01,0.09,0.15,0.11,0.1,0.05,0.13,0.33,0.26,0.31,0.46,0.19,0.15,0.86,0.19,0.28,,0.44,0.65,1.01,1.52,1.5,1.49,3.16,,4.74
20,0.03,0.03,0.02,0.03,0.02,0.06,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.09,0.01,0.01,0.03,0.01,0.14,0.26,0.3,0.08,0.29,0.38,0.37,0.45,0.78,,1.04,2.8,1.71,16.31,0.57,,,,,11.27,11.59,10.33,1.88,5.57,
21,0.03,0.03,0.01,0.02,0.02,0.06,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.09,0.01,0.02,0.03,0.01,0.03,0.21,0.11,0.11,0.17,0.16,0.15,0.11,0.6,0.44,0.82,0.89,1.17,0.68,0.44,,0.47,0.69,1.05,2.75,2.76,2.71,2.4,,
22,0.02,0.02,0.01,0.01,0.01,0.04,,0.01,0.01,0.01,0.01,0.02,0.01,0.07,0.01,0.01,0.02,0.01,0.06,0.15,0.14,0.15,0.13,0.34,0.24,0.04,0.4,3.39,0.63,0.69,1.18,1.14,0.32,4.37,2.25,3.92,16.07,8.99,9.21,8.23,1.58,,
23,0.06,0.06,0.03,0.04,0.02,0.11,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.16,0.01,0.01,0.06,0.01,0.12,0.32,0.41,0.65,0.14,0.72,0.3,0.24,0.26,11.88,3.35,2.89,1.36,4.48,0.35,,19.57,,,,,,2.15,11.29,3.28
24,0.08,0.08,0.04,0.07,0.05,0.17,0.02,0.04,0.04,0.03,0.03,0.06,0.02,0.25,0.03,0.02,0.08,,2.37,0.94,,152.69,0.27,,0.15,0.09,0.45,,,,1.98,,0.42,,,,,,,,1.41,,
25,0.01,0.01,,,,0.01,,0.01,0.01,0.02,0.02,0.03,0.06,0.02,0.01,0.01,0.01,,,,,,0.26,,0.35,0.19,0.39,,,,1.36,,0.24,1.39,,,,55.31,54.97,45.74,2.0,1.78,
