,Close
Close,1.0
Cumulative_Returns,0.9999999999999996
Square_Root_Close,0.9999392579250933
Log_Close,0.999772662277014
Close_Squared,0.999760028018634
Close_Cubed,0.9990485763879309
Close_Inverse,0.9990170470119886
Moving_Average_3,0.9645253943661198
Sin_Close,0.954919754730747
Moving_Average_5,0.9219354175612656
EMA,0.8851412980557405
Short_EMA,0.860964272815234
Rolling_Mean,0.8229932063947967
Moving_Average_10,0.8229932063947967
Lower_Band,0.7944526693532312
MACD,0.7688067831735931
Price_RoC_30,0.7501355323125313
Moving_Average_15,0.7414358422364262
Upper_Band,0.7327084039261759
Price_RoC_45,0.7255736965725226
Long_EMA,0.7211410876822119
Signal_Line,0.7013914883544851
Price_RoC_60,0.5998831344644989
Price_RoC_15,0.5751379888706433
Price_RoC_12,0.543267112504231
RSI,0.542021144069479
Price_RoC_10,0.5157655764934439
RS,0.452057040671638
Price_RoC_7,0.447248588230172
Z_Score,0.40816811875583103
Price_RoC_5,0.39292427349990366
Expanding_Mean,0.32059900483976833
Price_RoC_3,0.3058756559570371
Tan_Close,0.24177656839235281
Loss,0.17754020283874666
Price_Delta,0.17567382173800253
Log_Returns,0.17542945269732985
Price_RoC,0.17437515385615796
Std_Dev_RoC_10,0.17174455238640937
Std_Dev_RoC_5,0.13812481685384442
Gain,0.11413689268565053
Cos_Close,0.1074344933726191
Rolling_Std,0.09426302519449438
