,Feature,Importance
17,Expanding_Mean,0.09053515
2,Square_Root_Close,0.008443965
4,Log_Close,0.0066428347
6,Close_Inverse,0.0045188493
5,Close_Cubed,0.004057535
13,Upper_Band,0.0036050156
15,Moving_Average_15,0.003508967
12,Moving_Average_10,0.0034216088
11,Rolling_Mean,0.0033195622
0,Close,0.0033182283
14,Lower_Band,0.003225381
9,EMA,0.0031795662
10,Short_EMA,0.0026740779
3,Close_Squared,0.0024923591
16,Long_EMA,0.0024705797
1,Cumulative_Returns,0.0015540263
8,Moving_Average_5,0.0014367857
7,Moving_Average_3,0.00081164035
