,Close
Close,1.0
Cumulative_Returns,0.9999999999999998
Square_Root_Close,0.9994418011113244
Close_Squared,0.9979108070869289
Log_Close,0.9977634851359838
Moving_Average_3,0.9958389505806774
Close_Cubed,0.9920707998557192
Moving_Average_5,0.9915614591405468
Close_Inverse,0.990641512675934
EMA,0.986906550864007
Short_EMA,0.9838910018476601
Upper_Band,0.9828351636076353
Rolling_Mean,0.9816712671632712
Moving_Average_10,0.9816712671632712
Moving_Average_15,0.9714546132885943
Long_EMA,0.9627860456017723
Lower_Band,0.9602828109104616
Expanding_Mean,0.8504951196508929
Price_RoC_60,0.6405652725995163
Signal_Line,0.6237695927775334
MACD,0.5906455767851218
Price_RoC_45,0.5574955491001823
Price_RoC_30,0.4575632716603026
Rolling_Std,0.3223552968251048
RSI,0.30565550688259724
Price_RoC_15,0.3029726490886201
Price_RoC_12,0.2707104639106791
RS,0.24340915810509683
Price_RoC_10,0.23629866929102566
Price_RoC_7,0.17294763892666912
Gain,0.16237082320215682
Price_RoC_5,0.13096524445718724
Z_Score,0.13088424534946658
Cos_Close,0.09866490600811936
Std_Dev_RoC_10,0.08307030235477074
Price_RoC_3,0.08042579599481042
Loss,0.06561048832091687
Price_Delta,0.05796973148083054
Std_Dev_RoC_5,0.05079531529707096
Price_RoC,0.047604624446297095
Log_Returns,0.04591883431796839
Sin_Close,0.007544936954377212
Tan_Close,0.007360172968869438
