,Close
Cumulative_Returns,1.0000000000000002
Close,1.0
Square_Root_Close,0.9997691742233964
Log_Close,0.9990933501605646
Close_Squared,0.9990841455373085
Close_Cubed,0.9963667748362298
Close_Inverse,0.9962964210868809
Moving_Average_3,0.9833487202299798
Moving_Average_5,0.9644338072704288
EMA,0.9451039671442645
Short_EMA,0.9325988830249271
Rolling_Mean,0.9184214378258583
Moving_Average_10,0.9184214378258583
Upper_Band,0.8956095240441141
Price_RoC_60,0.8861836093762125
Moving_Average_15,0.8723866152752208
Lower_Band,0.8642393432017244
Long_EMA,0.8502615955688339
Signal_Line,0.7989680330058287
MACD,0.7972194048331398
Price_RoC_45,0.7792995051182949
Price_RoC_30,0.720011421830672
RSI,0.5609588280666551
Price_RoC_15,0.5553638536641979
Price_RoC_12,0.5142756905342571
Price_RoC_10,0.4610501377011239
Z_Score,0.39936841052438177
Price_RoC_7,0.39087999095659276
Price_RoC_5,0.3354499843522237
Expanding_Mean,0.3261613906368913
Rolling_Std,0.32300747856086126
RS,0.30106315823388907
Price_RoC_3,0.24862267479020375
Gain,0.23145205693583665
Std_Dev_RoC_5,0.22902154092408594
Std_Dev_RoC_10,0.22751692055023554
Price_Delta,0.14745381901779614
Price_RoC,0.14667775623352486
Log_Returns,0.14533476153698419
Sin_Close,0.09066999780117589
Cos_Close,0.05542607399677325
Loss,0.01776040886323419
Tan_Close,0.0119367393943704
