,Feature,Importance
16,Expanding_Mean,0.09811695
14,Long_EMA,0.007990332
13,Moving_Average_15,0.0058970423
5,Close_Inverse,0.0055249617
3,Close_Squared,0.004587324
4,Log_Close,0.0037085912
11,Moving_Average_10,0.0034434684
0,Close,0.0031517248
1,Cumulative_Returns,0.0028344127
15,Lower_Band,0.00265534
9,Short_EMA,0.0025552427
12,Upper_Band,0.0025062913
10,Rolling_Mean,0.0022642296
7,Moving_Average_5,0.0021788562
6,Moving_Average_3,0.0019726693
2,Square_Root_Close,0.0013809038
8,EMA,0.0011927749
