,Feature,Importance
17,Expanding_Mean,0.09178088
1,Close,0.009662919
7,Moving_Average_3,0.008005303
0,Cumulative_Returns,0.0069514783
12,Moving_Average_10,0.0068595423
2,Square_Root_Close,0.0064619407
5,Close_Cubed,0.005744256
13,Lower_Band,0.005465745
15,Long_EMA,0.0049864883
3,Log_Close,0.004765983
8,Moving_Average_5,0.004737457
14,Moving_Average_15,0.0045637228
6,Close_Inverse,0.0043911957
4,Close_Squared,0.0040153996
9,EMA,0.0034826952
11,Rolling_Mean,0.0034353696
10,Short_EMA,0.0023582873
16,Upper_Band,0.001982941
