,Feature,Importance
17,Expanding_Mean,0.07424736
16,Long_EMA,0.011761774
8,Moving_Average_5,0.0041082213
3,Log_Close,0.0037289138
6,Close_Inverse,0.0036516264
11,Rolling_Mean,0.0032055355
1,Cumulative_Returns,0.0030839783
10,Short_EMA,0.0027390132
7,Moving_Average_3,0.0026473622
0,Close,0.0025119751
2,Square_Root_Close,0.001888137
12,Moving_Average_10,0.0016784088
9,EMA,0.0015354375
4,Close_Squared,0.0014001614
5,Close_Cubed,0.0013554422
14,Moving_Average_15,0.0013124307
15,Upper_Band,0.0012489607
13,Lower_Band,0.0009305027
