,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Squared,Close_Inverse,Close_Cubed,Moving_Average_3,Moving_Average_5,EMA,Lower_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Price_RoC_45,Price_RoC_60,MACD,Signal_Line,Price_RoC_30,Std_Dev_RoC_10,Price_RoC_15,RS,Price_RoC_12,RSI,Price_RoC_10,Std_Dev_RoC_5,Price_RoC_7,Price_RoC_5,Z_Score,Rolling_Std,Price_RoC_3,Price_Delta,Log_Returns,Price_RoC,Sin_Close,Expanding_Mean,Loss,Gain,Cos_Close,Tan_Close
0,0.07,0.07,0.04,0.02,0.14,0.07,0.22,0.07,0.07,0.05,0.09,0.05,0.05,0.05,0.04,0.04,0.02,,,,,,0.47,,0.2,,0.17,,0.4,,,,0.36,,,,,3.23,0.01,1.05,1.92,6.51,
1,0.03,0.03,0.01,0.01,0.06,0.03,0.09,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.03,0.03,0.04,,,,,,0.36,,0.83,,0.56,,0.29,,17.1,,0.43,4.83,5.63,5.8,5.38,0.4,0.01,1.77,0.84,13.56,
2,0.02,0.02,0.01,0.01,0.05,0.02,0.07,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.02,,0.02,,,,,,0.18,0.49,0.72,0.49,0.15,0.46,0.65,0.27,0.27,0.26,0.11,0.81,4.14,4.15,4.04,,0.01,1.7,1.27,,1.77
3,0.03,0.03,0.01,0.01,0.06,0.03,0.08,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,0.18,1.89,0.6,,0.25,,0.25,,,,0.31,,,,,9.77,0.01,1.08,1.55,,
4,0.02,0.02,0.01,0.01,0.05,0.02,0.07,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,,0.01,,,,,0.73,0.15,,0.26,,0.14,13.11,0.33,2.26,2.24,2.67,0.09,3.21,24.77,24.9,17.87,233.36,0.01,1.42,1.33,,
5,0.01,0.01,0.01,,0.02,0.01,0.04,0.01,,,0.01,,,,,,0.01,0.49,,,,,0.09,2.2,0.18,,0.1,27.61,0.56,,,,0.28,,503.81,510.79,100.03,8.85,,1.43,1.59,,
6,0.03,0.03,0.02,0.01,0.06,0.03,0.09,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.03,0.25,1.56,1.06,1.81,1.06,0.18,0.92,0.37,0.85,0.15,0.85,0.41,0.72,0.65,0.74,0.4,0.84,2.34,2.39,2.35,,,1.74,0.89,,3.19
7,0.02,0.02,0.01,0.01,0.05,0.02,0.07,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.69,0.18,0.12,0.12,0.49,0.24,0.29,0.23,0.52,0.06,0.78,0.5,1.71,2.92,2.51,0.31,3.06,3.98,4.03,3.93,,,1.55,1.52,0.68,
8,0.01,0.01,0.01,,0.03,0.01,0.04,0.02,0.02,0.02,0.05,0.02,0.03,0.03,0.02,0.02,0.02,0.15,0.1,0.13,0.19,0.12,0.15,0.17,0.33,0.29,0.07,0.3,0.4,0.51,0.79,0.46,0.31,0.99,3.2,3.15,3.1,0.26,,2.07,1.27,,
9,0.04,0.04,0.02,0.01,0.08,0.04,0.12,0.03,0.03,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.29,0.22,0.43,0.16,0.59,0.22,2.2,0.8,25.23,0.32,,0.54,,,,0.45,,,,,1.22,,1.48,1.42,,12.36
