,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Squared,Moving_Average_3,Close_Inverse,Close_Cubed,Moving_Average_5,EMA,Lower_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Expanding_Mean,Price_RoC_60,Price_RoC_45,Signal_Line,MACD,Price_RoC_30,RSI,Price_RoC_15,Price_RoC_12,Std_Dev_RoC_10,Price_RoC_10,RS,Std_Dev_RoC_5,Z_Score,Price_RoC_7,Price_RoC_5,Cos_Close,Price_RoC_3,Gain,Rolling_Std,Price_Delta,Price_RoC,Log_Returns,Loss,Sin_Close,Tan_Close
0,0.03,0.03,0.01,0.01,0.06,0.03,0.03,0.08,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.05,0.01,,,,,,0.57,,,0.24,,0.75,0.52,,,,1.15,,1.71,0.58,,,,1.3,0.39,4.89
1,0.02,0.02,0.01,0.01,0.04,0.02,0.02,0.06,0.03,0.02,0.04,0.01,0.02,0.02,0.01,,0.02,,,,,,,0.19,1.1,0.86,0.34,0.72,0.66,0.43,0.52,0.71,0.8,,1.08,1.22,0.3,2.14,2.11,2.13,1.69,0.21,
2,0.02,0.02,0.01,0.01,0.04,0.01,0.02,0.06,0.01,,0.01,,,,0.01,,0.01,,,,,0.9,1.13,0.17,0.75,1.25,0.13,1.65,0.41,0.47,7.18,4.76,6.73,,5.66,2.3,0.32,8.83,8.52,9.05,1.25,0.59,
3,0.03,0.03,0.02,0.01,0.07,0.03,0.03,0.1,0.02,0.01,0.01,0.01,0.01,0.01,,,0.01,,,,0.34,0.8,0.44,0.2,5.46,2.84,0.38,24.47,0.41,0.34,,,,,,2.21,0.16,,,,1.17,0.98,3.52
4,0.05,0.05,0.02,0.01,0.09,0.04,0.05,0.14,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,,1.62,,,7.33,0.38,,,0.19,,0.57,0.55,3.44,3.6,2.39,,1.88,1.74,0.15,2.82,2.91,2.94,1.38,0.99,2.8
5,0.01,0.01,0.01,,0.02,0.01,0.01,0.03,0.01,0.01,0.04,0.01,0.02,0.02,0.02,0.01,0.01,,0.27,0.37,0.45,0.15,0.35,0.06,0.33,0.53,0.26,0.76,0.18,0.5,0.9,0.97,1.37,,2.44,1.2,0.52,38.62,31.42,39.09,1.36,,0.64
6,0.03,0.03,0.01,0.01,0.06,0.03,0.03,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,,0.18,0.29,0.19,0.18,0.51,0.1,0.29,0.43,0.45,0.3,0.44,0.28,0.34,0.41,0.47,1.87,0.92,0.68,0.23,1.28,1.28,1.29,2.75,,
7,0.01,0.01,0.01,,0.03,0.01,0.01,0.04,0.02,0.02,0.04,0.02,0.03,0.03,0.02,0.02,0.01,,0.06,0.16,0.12,0.06,0.21,0.07,0.19,0.15,0.08,0.26,0.29,0.18,0.42,0.56,0.83,0.66,1.02,1.26,0.32,2.51,2.47,2.5,1.96,0.2,
8,0.02,0.02,0.01,,0.03,0.01,0.02,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,,0.09,0.13,0.02,0.04,0.11,0.06,0.36,0.33,0.32,0.4,0.22,0.14,0.42,0.41,0.6,,1.22,1.13,0.12,4.21,4.08,4.15,2.45,0.22,30.86
9,0.02,0.02,0.01,0.01,0.04,0.02,0.02,0.07,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,,,0.07,0.19,0.15,0.31,0.36,0.25,1.34,3.29,0.4,9.04,0.72,0.32,,,,,,2.09,0.18,,,,1.52,0.45,
