,Feature,Importance
17,Expanding_Mean,0.1395761
6,Close_Inverse,0.007920166
1,Cumulative_Returns,0.0073089763
9,EMA,0.0071087345
16,Long_EMA,0.0058068405
7,Moving_Average_3,0.0057313167
10,Short_EMA,0.005263547
3,Log_Close,0.004957772
4,Close_Squared,0.0046075205
13,Upper_Band,0.0045812605
0,Close,0.004542892
15,Lower_Band,0.004155799
8,Moving_Average_5,0.0041432055
12,Moving_Average_10,0.0041136807
2,Square_Root_Close,0.0034795334
11,Rolling_Mean,0.0030447422
14,Moving_Average_15,0.0026604396
5,Close_Cubed,0.0017377108
