,Feature,Importance
16,Expanding_Mean,0.09381437
13,Long_EMA,0.009539146
1,Close,0.009027928
11,Moving_Average_10,0.007222271
14,Moving_Average_15,0.0067635053
5,Close_Inverse,0.006342749
2,Square_Root_Close,0.0051688673
3,Log_Close,0.004114578
0,Cumulative_Returns,0.0039620902
10,Rolling_Mean,0.0035068612
8,EMA,0.0028111648
9,Short_EMA,0.0026629933
4,Close_Squared,0.0026511822
6,Moving_Average_3,0.002565322
12,Upper_Band,0.0022381928
7,Moving_Average_5,0.0017857447
15,Lower_Band,0.0013976324
