,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Squared,Moving_Average_3,Moving_Average_5,Close_Inverse,Close_Cubed,EMA,Short_EMA,Lower_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Expanding_Mean,Price_RoC_60,Price_RoC_45,Signal_Line,MACD,Price_RoC_30,Price_RoC_15,Price_RoC_12,RS,Price_RoC_10,RSI,Price_RoC_7,Std_Dev_RoC_10,Price_RoC_5,Z_Score,Std_Dev_RoC_5,Gain,Price_RoC_3,Cos_Close,Tan_Close,Price_Delta,Log_Returns,Price_RoC,Loss,Rolling_Std,Sin_Close
0,0.02,0.02,0.01,,0.04,0.02,0.02,0.02,0.07,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,0.28,,0.2,,0.2,,,0.4,1.21,,,,,,,1.61,0.28,1.4
1,0.04,0.04,0.02,0.01,0.09,0.03,0.02,0.04,0.13,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,,,,,,,,,0.69,,0.3,10.21,0.44,3.4,120.28,0.55,1.17,3.01,0.6,4.93,3.33,3.47,3.34,1.85,0.4,
2,0.02,0.02,0.01,,0.04,0.01,0.01,0.02,0.06,0.01,0.01,0.04,0.02,0.02,0.01,,0.01,,,,,3.26,8.95,0.5,0.32,0.28,0.33,0.1,1.09,0.41,1.91,0.79,0.39,1.44,5.84,11.51,,,,,1.35,0.34,
3,0.03,0.03,0.01,,0.05,0.02,0.02,0.03,0.08,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,,,,0.32,0.51,0.4,1.71,2.83,0.52,10.3,0.19,,0.11,,,0.29,1.6,,,,,,,1.42,0.2,4.62
4,0.04,0.04,0.02,0.01,0.08,0.04,0.03,0.04,0.12,0.03,0.02,0.04,0.02,0.02,0.02,0.01,0.01,,,,,,,,,0.41,,0.25,,0.29,,,0.36,1.12,,,,,,,1.25,0.24,2.16
5,0.02,0.02,0.01,,0.05,0.02,0.02,0.02,0.07,0.01,0.01,0.01,0.01,0.01,,,0.02,,,1.53,,,,,290.57,0.29,2.99,0.15,1.11,0.41,1.83,1.37,0.27,1.31,2.6,7.88,12.15,6.23,6.23,5.94,1.35,0.21,6.86
6,0.05,0.05,0.02,0.01,0.09,0.04,0.04,0.05,0.13,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.05,,0.87,0.62,3.33,0.98,2.19,0.37,0.44,0.4,0.46,0.11,0.76,0.46,0.71,0.73,0.41,1.21,0.99,,15.67,1.65,1.64,1.64,2.19,0.4,2.83
7,0.02,0.02,0.01,,0.04,0.02,0.01,0.02,0.06,,,0.01,0.01,0.01,0.02,0.01,,,0.5,0.68,0.09,0.2,0.17,0.6,1.09,0.68,1.83,0.18,35.37,0.22,,,0.52,1.18,,,15.57,,,,1.54,0.15,23.41
8,0.04,0.04,0.02,0.01,0.08,0.03,0.03,0.04,0.12,0.02,0.02,,0.02,0.02,0.01,0.02,0.04,,0.18,0.48,0.1,0.24,0.29,0.85,1.12,1.08,0.91,0.24,0.48,0.38,0.49,0.26,0.36,0.84,0.53,,,1.02,1.04,1.04,2.11,0.36,3.54
9,0.02,0.02,0.01,,0.03,0.01,0.01,0.02,0.05,0.01,0.01,0.05,0.02,0.02,0.02,0.02,0.01,,0.12,0.14,0.09,0.07,0.27,0.21,0.32,0.79,0.55,0.1,1.24,0.23,1.94,1.04,0.56,0.81,2.68,,,3.76,3.79,3.68,2.11,0.42,
