,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Squared,Close_Inverse,Close_Cubed,Moving_Average_3,Moving_Average_5,EMA,Lower_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Price_RoC_60,Price_RoC_45,Signal_Line,MACD,Price_RoC_30,Std_Dev_RoC_10,Price_RoC_15,RSI,Price_RoC_12,Std_Dev_RoC_5,Price_RoC_10,RS,Price_RoC_7,Rolling_Std,Price_RoC_5,Z_Score,Expanding_Mean,Price_RoC_3,Loss,Price_Delta,Log_Returns,Price_RoC,Sin_Close,Tan_Close,Cos_Close,Gain
0,0.11,0.11,0.05,0.02,0.2,0.11,0.29,0.09,0.07,0.04,0.11,0.04,0.03,0.03,0.02,0.02,0.04,1.4,1.66,0.61,3.18,7.37,0.79,,0.47,,0.65,,0.78,,0.84,,,,,1.63,,,,1.81,4.53,4.65,1.63
1,0.03,0.03,0.01,0.01,0.06,0.03,0.09,0.02,0.01,0.02,0.04,0.03,0.04,0.04,0.05,0.02,0.1,,,,,,0.33,,0.24,,0.63,,0.41,,0.64,,,,99.35,1.47,,,71.02,,10.33,,1.41
2,0.02,0.02,0.01,,0.04,0.02,0.06,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,0.29,,0.16,,0.34,,0.36,,0.13,,,,,1.44,61.42,63.43,40.23,1.06,,11.27,1.47
3,0.01,0.01,0.01,,0.03,0.01,0.04,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,,0.01,,,,,,0.21,0.7,0.08,0.55,0.28,0.66,0.21,1.2,0.31,2.15,1.82,,3.7,1.56,5.34,5.39,5.2,5.75,2.77,,1.32
4,0.04,0.04,0.02,0.01,0.08,0.04,0.13,0.04,0.03,0.02,0.04,0.02,0.02,0.02,0.01,0.01,0.03,,,,,,0.27,,0.26,,0.31,,0.73,,0.32,,,,,1.53,,,,,,,1.84
5,0.01,0.01,0.01,,0.03,0.01,0.04,0.01,0.02,0.01,0.02,0.01,0.01,0.01,,,0.01,,,,,,0.26,,0.2,3.65,0.25,0.86,0.43,0.79,0.15,1.31,0.6,,1.4,1.82,3.54,3.55,3.49,1.38,2.86,,1.54
6,0.02,0.02,0.01,,0.04,0.02,0.06,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,0.01,,1.55,,1.31,,0.13,0.72,0.11,0.57,0.37,0.82,0.28,1.5,0.25,1.77,2.03,,5.23,1.56,7.32,7.36,6.81,,86.96,169.8,1.11
7,0.01,0.01,0.01,,0.03,0.01,0.04,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.65,0.59,0.32,0.15,0.21,0.09,0.26,0.06,0.42,0.2,0.43,0.15,0.66,0.24,1.08,0.64,,1.49,1.81,3.2,3.21,3.15,4.88,,,1.43
8,0.01,0.01,,,0.02,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.46,0.13,0.07,0.11,0.07,0.36,0.06,0.34,0.29,0.43,0.24,0.61,0.27,1.03,0.69,,1.94,1.35,10.23,10.13,9.61,,3.02,2.78,1.24
9,0.02,0.02,0.01,,0.03,0.02,0.05,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.15,0.13,0.07,0.07,0.18,0.07,0.38,0.07,0.24,0.34,0.32,0.21,0.59,0.22,0.85,0.91,,1.47,1.92,8.2,7.96,7.32,,,9.36,1.14
10,0.02,0.02,0.01,,0.03,0.02,0.05,0.01,0.01,,0.01,,,,0.01,0.01,,0.14,0.21,0.13,0.26,0.34,0.11,1.77,0.16,8.01,0.33,,0.34,,0.1,,,,,1.51,,,,,,,1.22
11,0.03,0.03,0.01,,0.05,0.03,0.08,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,0.21,0.17,0.43,0.7,0.72,0.21,,0.16,,0.37,,0.29,7.45,0.16,3.41,4.84,,2.14,1.63,3.89,3.96,3.85,3.69,4.48,15.16,1.3
12,0.02,0.02,0.01,,0.04,0.02,0.06,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.16,0.15,0.21,1.32,0.47,0.57,0.09,0.38,0.22,0.43,0.26,1.08,0.4,1.54,0.9,,2.2,1.5,5.22,5.28,5.15,1.65,1.89,,1.5
13,0.02,0.02,0.01,,0.03,0.02,0.05,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.27,0.57,0.11,0.21,0.18,0.36,0.46,0.12,0.92,0.44,1.31,0.35,3.42,0.2,251.26,50.49,,,1.95,,,,3.09,3.28,5.91,1.48
14,0.02,0.02,0.01,,0.03,0.02,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.59,0.89,0.62,2.09,1.42,0.27,,0.15,,0.26,,0.23,,0.15,,,,,1.4,,,,,6.66,3.75,1.45
15,0.03,0.03,0.01,0.01,0.06,0.03,0.09,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,,,,,,0.21,,0.15,,0.23,,0.27,,0.24,,,,,1.22,,,,32.05,13.34,0.9,1.62
16,0.02,0.02,0.01,,0.03,0.02,0.05,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,0.02,,,,,,0.21,,0.25,,0.49,,0.53,2.73,0.42,2.13,3.12,,2.41,2.53,3.74,3.79,3.69,,3.5,,0.82
17,0.01,0.01,0.01,,0.03,0.01,0.04,0.01,0.01,,0.01,,,,,,,,,,,,0.44,0.73,0.13,1.07,0.24,0.83,0.32,1.7,0.15,3.53,1.65,,9.54,1.51,82.01,83.39,58.65,2.92,10.43,2.81,1.38
18,0.02,0.02,0.01,,0.04,0.02,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,0.16,,0.16,,0.32,,0.44,,0.12,,,,,2.21,,,,1.86,,,1.75
19,0.03,0.03,0.01,,0.05,0.03,0.08,0.02,0.01,0.01,0.01,0.01,,,0.01,,0.01,,,,,,0.13,,0.17,,0.37,,0.28,,0.18,7.98,15.06,,6.69,2.23,35.51,36.47,25.09,2.86,2.71,,1.27
20,0.01,0.01,0.01,,0.03,0.01,0.05,0.01,0.02,0.01,0.03,0.01,0.02,0.02,0.01,0.01,0.01,,0.34,2.44,0.67,0.64,0.09,0.65,0.21,0.65,0.76,0.6,1.28,0.45,0.26,0.39,0.33,,0.56,2.65,3.23,3.17,3.11,2.93,,1.66,0.96
21,0.02,0.02,0.01,,0.04,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.96,0.39,0.13,0.14,0.42,0.36,0.22,0.05,0.3,0.26,0.4,0.18,1.16,0.3,1.66,1.06,,2.01,1.7,1.92,1.93,1.92,2.89,1.7,,0.85
22,0.01,0.01,0.01,,0.03,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.43,0.04,0.06,0.28,0.2,0.47,0.11,0.67,0.23,0.62,0.32,1.23,0.25,1.59,1.89,,12.71,1.39,30.56,30.34,23.98,,,13.99,1.72
23,0.02,0.02,0.01,,0.04,0.02,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.14,0.24,0.12,0.15,0.16,0.15,0.33,0.07,0.38,0.27,0.4,0.19,0.35,0.15,0.93,0.31,,0.84,2.17,1.6,1.59,1.58,,,3.37,1.04
24,0.01,0.01,,,0.01,0.01,0.02,,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.13,0.05,0.07,0.2,0.04,0.4,0.12,0.49,0.36,0.52,0.52,1.09,0.38,1.68,1.72,,2.57,1.67,44.92,44.5,36.76,,2.88,,1.41
25,,,,,0.01,,0.01,,,,,,,,,,,0.2,0.11,0.06,0.11,0.15,0.06,0.53,0.14,,0.12,,0.32,,0.04,,,,,2.0,13.96,13.96,13.41,5.77,10.0,0.72,0.91
