,Feature,Importance
17,Expanding_Mean,0.08771928
15,Long_EMA,0.01879124
2,Square_Root_Close,0.010457685
3,Log_Close,0.008364262
4,Close_Squared,0.0073685297
8,Moving_Average_5,0.006842371
16,Lower_Band,0.0057010897
12,Moving_Average_10,0.0050677266
6,Close_Inverse,0.0048670163
13,Upper_Band,0.0043718787
11,Rolling_Mean,0.0038779154
9,EMA,0.0037945271
7,Close_Cubed,0.0034941218
1,Close,0.0029963702
14,Moving_Average_15,0.0029722922
10,Short_EMA,0.002572629
0,Cumulative_Returns,0.0018708517
5,Moving_Average_3,0.0018429689
