,Feature,Importance
17,Expanding_Mean,0.09470078
3,Log_Close,0.005969972
0,Close,0.0059137926
6,Close_Cubed,0.005229532
11,Rolling_Mean,0.0050703664
10,Short_EMA,0.004801831
14,Moving_Average_15,0.004207657
12,Moving_Average_10,0.0036300211
9,EMA,0.003620527
1,Cumulative_Returns,0.003406485
4,Close_Squared,0.002887643
8,Moving_Average_5,0.0026646047
7,Moving_Average_3,0.0025591743
13,Upper_Band,0.0021183607
15,Lower_Band,0.0016778649
16,Long_EMA,0.0015867818
2,Square_Root_Close,0.0011699471
5,Close_Inverse,0.00116167
