,Feature,Importance
17,Lower_Band,0.059786934
8,Moving_Average_5,0.023281801
14,Moving_Average_10,0.021397185
5,Close_Inverse,0.019994594
15,Upper_Band,0.01960515
13,Rolling_Mean,0.019531207
2,Square_Root_Close,0.015499827
16,Moving_Average_15,0.01516398
9,EMA,0.013525722
0,Close,0.013498807
12,Long_EMA,0.012707485
1,Cumulative_Returns,0.010593938
7,Moving_Average_3,0.0093247425
3,Log_Close,0.009017214
6,Close_Cubed,0.007849628
4,Close_Squared,0.0072847754
10,Short_EMA,0.0063628056
11,Expanding_Mean,0.005546785
