,Cumulative_Returns,Close,Square_Root_Close,Close_Squared,Log_Close,Moving_Average_3,Close_Cubed,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Lower_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Expanding_Mean,Price_RoC_60,Signal_Line,Price_RoC_45,MACD,Std_Dev_RoC_10,Std_Dev_RoC_5,Price_RoC_30,RSI,Z_Score,Price_RoC_15,Price_RoC_12,Rolling_Std,Price_RoC_10,Price_RoC_7,Tan_Close,Price_RoC_5,RS,Cos_Close,Price_RoC_3,Loss,Price_Delta,Log_Returns,Price_RoC,Sin_Close,Gain
13,0.03,0.03,0.02,0.06,0.01,0.03,0.09,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.01,,,,,0.33,0.58,,0.37,,,,0.21,,,3.01,,0.57,,,1.26,,,540.07,,1.54
14,0.03,0.03,0.01,0.05,0.01,0.01,0.08,0.03,0.01,,,0.03,0.01,0.01,,0.01,0.01,,,,,,0.18,0.4,,0.11,6.27,38.8,1.94,0.34,2.5,2.12,3.44,3.42,0.26,5.27,35.38,1.35,,,,,1.64
15,0.02,0.02,0.01,0.04,,0.01,0.06,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,,,,,0.38,0.31,,0.13,,,,0.2,,,4.0,,0.23,,,1.53,,,,2.19,1.36
16,0.04,0.04,0.02,0.07,0.01,0.04,0.11,0.04,0.04,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.03,,,,,,0.24,0.34,2.31,0.2,1.77,2.01,0.74,0.26,0.8,1.44,,2.44,0.39,,3.2,1.92,3.69,3.53,3.4,,1.04
17,0.02,0.02,0.01,0.05,,0.02,0.07,0.02,0.02,0.01,0.01,0.01,,,0.01,0.01,0.01,,,1.54,1.42,0.67,0.36,0.44,1.13,0.1,1.4,0.7,1.07,0.07,1.4,2.77,1.37,2.41,0.24,,1.58,2.47,2.2,2.2,2.17,5.02,1.2
18,0.02,0.02,0.01,0.05,,0.02,0.07,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,,0.97,0.33,0.23,0.25,0.35,0.33,0.23,0.15,0.29,0.57,0.3,0.12,0.22,0.44,1.87,0.3,0.43,4.61,0.51,1.2,2.1,2.11,2.09,60.18,1.11
19,0.02,0.02,0.01,0.04,,0.02,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.23,0.14,0.22,0.1,0.1,0.27,0.23,0.06,0.49,0.16,0.28,0.16,0.2,0.49,,0.55,0.27,,1.4,2.11,3.26,3.2,3.13,,1.14
20,0.02,0.02,0.01,0.04,,0.01,0.06,0.02,0.01,,,0.01,,,0.01,0.01,0.01,,0.29,0.13,0.11,0.25,0.29,0.42,0.27,0.21,,1.04,2.32,0.29,9.36,,,,0.43,,,2.2,5.23,5.35,5.11,1.36,1.53
21,0.02,0.02,0.01,0.03,,0.01,0.05,0.02,0.01,,,0.01,0.01,0.01,,,,,0.13,0.12,0.14,0.2,0.07,0.27,0.39,0.09,3.17,2.8,1.51,0.19,1.84,2.73,10.86,3.41,0.19,7.65,8.09,1.24,,,,1.95,1.88
22,0.01,0.01,0.01,0.03,,0.02,0.04,0.01,0.03,0.02,0.02,0.05,0.03,0.03,0.02,0.02,0.03,,0.16,0.22,0.18,0.19,0.23,0.35,0.22,0.06,2.13,0.26,0.3,0.37,0.46,0.95,2.15,1.39,0.18,,2.26,1.3,4.47,4.39,4.28,2.18,2.02
23,0.01,0.01,,0.02,,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,,0.16,0.29,0.33,0.5,0.38,0.18,0.37,0.31,,,,0.32,,,,,0.59,,,1.57,69.13,70.0,51.86,,1.2
24,0.03,0.03,0.02,0.07,0.01,0.02,0.11,0.03,0.02,0.01,0.01,0.02,,,0.01,,0.02,,0.29,0.82,0.87,5.8,0.16,0.64,0.89,0.3,,,,0.41,,80.48,,5.9,0.54,,4.37,1.36,11.53,11.78,10.31,,1.54
25,0.01,0.01,,0.02,,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.07,0.36,0.28,0.23,0.18,0.31,0.73,0.04,0.25,0.21,0.2,0.07,0.42,0.22,2.84,0.86,0.1,,0.63,1.25,2.91,2.89,2.86,,1.42
