,Cumulative_Returns,Close,Square_Root_Close,Moving_Average_3,Close_Squared,Log_Close,Moving_Average_5,EMA,Close_Cubed,Close_Inverse,Short_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Lower_Band,Long_EMA,Price_RoC_60,Signal_Line,MACD,Price_RoC_45,Price_RoC_30,RSI,Price_RoC_15,Price_RoC_12,RS,Price_RoC_10,Price_RoC_7,Z_Score,Std_Dev_RoC_5,Cos_Close,Price_RoC_5,Std_Dev_RoC_10,Price_RoC_3,Sin_Close,Price_Delta,Log_Returns,Loss,Rolling_Std,Price_RoC,Gain,Expanding_Mean,Tan_Close
10,0.02,0.02,0.01,0.01,0.03,,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.01,,0.01,,0.37,0.55,3.34,0.26,3.04,0.17,,1.36,0.33,0.93,0.8,0.9,0.56,0.58,0.81,0.2,2.58,,5.85,5.83,1.53,0.11,5.54,1.17,,
11,0.02,0.02,0.01,0.01,0.03,,,,0.05,0.02,,,,0.01,,0.01,,0.16,0.09,0.3,0.66,,0.09,0.78,1.99,0.21,3.03,3.48,3.17,0.29,0.23,8.06,0.22,3.84,,3.77,3.81,1.88,0.33,3.75,1.82,,
12,0.04,0.04,0.02,0.03,0.08,0.01,0.02,0.01,0.11,0.04,0.01,0.01,0.01,0.01,,0.02,,0.47,0.26,0.81,,1.04,0.22,3.18,2.87,0.43,5.24,,,0.4,1.15,,0.22,,,,,1.63,0.2,,1.72,,
13,0.04,0.04,0.02,0.03,0.07,0.01,0.02,0.02,0.11,0.04,0.02,0.02,0.02,0.03,0.02,0.03,0.01,,,,,,0.32,,,0.48,,,,0.39,,,0.5,,,,,1.44,0.36,,2.03,,2.58
14,0.13,0.13,0.07,0.12,0.25,0.04,0.1,0.08,0.35,0.14,0.07,0.08,0.08,0.04,0.06,0.19,0.05,,,,,,0.63,,,0.81,,,,0.79,1.43,,0.42,,3.31,,,1.11,0.32,38.17,1.66,,4.76
15,0.07,0.07,0.04,0.07,0.16,0.02,0.06,0.03,0.25,0.06,0.03,0.02,0.02,0.06,0.02,0.08,0.03,,,,,,0.14,,,0.28,,19.86,,0.55,,,0.15,,,,,1.79,0.34,,1.28,,
16,0.12,0.12,0.06,0.1,0.23,0.04,0.09,0.06,0.33,0.12,0.05,0.05,0.05,0.12,0.02,0.06,0.02,,,,,,0.3,3.19,2.05,0.54,1.17,1.0,1.93,0.53,,1.22,0.21,1.79,1.77,4.23,4.32,1.55,0.61,4.02,2.15,,3.01
17,0.06,0.06,0.03,0.06,0.11,0.02,0.06,0.06,0.17,0.06,0.06,0.06,0.06,0.04,0.07,0.1,0.04,2.72,0.64,0.31,0.98,0.39,0.08,0.22,0.32,0.34,0.35,0.38,0.15,0.67,7.73,0.27,0.18,0.31,5.27,1.22,1.27,2.26,0.19,1.28,1.14,,4.6
18,0.04,0.04,0.02,0.04,0.08,0.01,0.03,0.01,0.12,0.04,0.01,0.01,0.01,0.01,0.02,0.03,0.02,0.32,0.08,0.25,0.61,0.18,0.26,0.72,1.44,1.29,3.19,,,0.3,2.15,,0.11,,2.03,,,1.15,0.2,,2.43,,
19,0.05,0.05,0.03,0.05,0.11,0.02,0.04,0.03,0.16,0.06,0.02,0.02,0.02,0.04,0.01,0.01,0.02,0.64,0.09,0.15,0.38,0.31,0.28,7.62,3.83,0.81,2.38,1.07,1.17,0.21,,0.81,0.24,1.23,6.95,1.7,1.77,1.74,0.3,1.75,1.09,,
20,0.05,0.05,0.02,0.02,0.09,0.01,0.01,0.01,0.14,0.04,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.32,0.03,0.12,0.15,0.54,0.11,0.3,0.47,0.39,0.84,1.86,2.29,0.46,,2.62,0.15,3.4,,4.46,4.67,1.61,0.27,4.38,1.55,,
21,0.01,0.01,0.01,0.01,0.03,,0.01,0.01,0.04,0.01,0.01,0.02,0.02,0.01,0.01,0.05,0.02,0.17,0.03,0.08,0.22,0.24,0.08,0.52,0.37,0.19,0.67,1.29,0.82,0.52,0.22,2.06,0.3,3.48,1.43,,,1.41,0.39,,1.37,,1.55
22,0.01,0.01,,,0.01,,,,0.02,0.01,,,,0.01,,0.01,0.01,0.33,0.13,0.2,0.25,0.51,0.14,1.52,3.05,0.34,2.39,3.8,10.04,0.52,0.16,5.32,0.4,,0.29,,,1.51,0.42,,1.51,,0.49
23,0.06,0.06,0.03,0.06,0.13,0.02,0.04,0.03,0.2,0.06,0.03,0.03,0.03,0.07,0.02,0.02,0.02,0.13,0.15,0.4,0.17,0.32,0.21,0.96,0.93,0.75,0.9,0.83,0.41,0.75,5.76,0.89,0.67,0.85,1.02,1.36,1.34,2.37,0.83,1.34,0.92,,1.85
24,0.05,0.05,0.03,0.05,0.1,0.01,0.06,0.05,0.15,0.06,0.05,0.06,0.06,0.06,0.05,0.07,0.04,0.23,0.27,0.21,0.16,0.26,0.03,0.23,0.27,0.3,0.35,0.37,0.42,0.42,0.55,0.71,0.11,1.6,0.95,2.55,2.57,2.18,0.12,2.57,1.76,0.01,8.57
25,0.02,0.02,0.01,0.02,0.04,0.01,0.01,,0.06,0.02,,,,0.02,0.01,0.03,0.01,0.19,0.02,0.11,0.31,0.06,0.11,0.56,0.18,0.39,2.27,,,0.64,2.56,,0.18,,,,,0.51,0.45,,,,1.52
