,Feature,Importance
16,Expanding_Mean,0.096629046
8,EMA,0.0053426963
7,Moving_Average_5,0.004768078
5,Close_Inverse,0.004612352
9,Short_EMA,0.0045608105
6,Moving_Average_3,0.004130433
4,Close_Squared,0.0038126544
15,Long_EMA,0.003605616
12,Lower_Band,0.0035598967
13,Moving_Average_15,0.0032310016
1,Cumulative_Returns,0.0031072348
2,Square_Root_Close,0.0030623083
14,Upper_Band,0.0020608418
0,Close,0.002027892
10,Rolling_Mean,0.002010425
11,Moving_Average_10,0.00155313
3,Log_Close,0.0008257935
