,Feature,Importance
16,Expanding_Mean,0.09198789
6,Moving_Average_5,0.006710342
9,Short_EMA,0.006526705
0,Cumulative_Returns,0.0056943167
12,Moving_Average_15,0.0048820917
1,Close,0.004372967
5,Moving_Average_3,0.0039576185
2,Square_Root_Close,0.0035647633
15,Long_EMA,0.0034233388
7,Close_Inverse,0.003055963
3,Log_Close,0.0029007788
8,EMA,0.0022955723
4,Close_Squared,0.0022024952
14,Lower_Band,0.0019322243
11,Moving_Average_10,0.0012433386
13,Upper_Band,0.0011421721
10,Rolling_Mean,0.0010085639
