,Feature,Importance
17,Expanding_Mean,0.09206175
1,Cumulative_Returns,0.007933037
11,Short_EMA,0.0077789887
16,Long_EMA,0.0072458745
8,Close_Inverse,0.0063728094
3,Log_Close,0.005401285
2,Square_Root_Close,0.004618357
6,Moving_Average_5,0.0042330497
0,Close,0.0039254897
5,Moving_Average_3,0.0037282095
10,Upper_Band,0.0032567729
9,EMA,0.002759354
13,Moving_Average_10,0.0026589911
12,Rolling_Mean,0.0026490488
7,Close_Cubed,0.0024308367
15,Lower_Band,0.0023465615
4,Close_Squared,0.0019244968
14,Moving_Average_15,0.0018706819
