,Feature,Importance
16,Expanding_Mean,0.09117107
15,Long_EMA,0.015908029
14,Moving_Average_15,0.005804996
5,Close_Inverse,0.0054690065
9,Short_EMA,0.0049882038
2,Square_Root_Close,0.004666555
6,Moving_Average_3,0.004581317
10,Rolling_Mean,0.00274208
13,Upper_Band,0.0022717987
1,Cumulative_Returns,0.0019898764
11,Moving_Average_10,0.001923649
3,Close_Squared,0.0018283908
8,EMA,0.001618285
12,Lower_Band,0.0014780776
4,Log_Close,0.0014574484
0,Close,0.0014335632
7,Moving_Average_5,0.0010010976
