,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Squared,Moving_Average_3,Close_Cubed,Close_Inverse,Moving_Average_5,EMA,Lower_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Price_RoC_60,Price_RoC_45,Cos_Close,Signal_Line,Sin_Close,MACD,Price_RoC_30,Std_Dev_RoC_10,RSI,Price_RoC_15,RS,Price_RoC_12,Price_RoC_10,Std_Dev_RoC_5,Price_RoC_7,Z_Score,Price_RoC_5,Price_RoC_3,Tan_Close,Expanding_Mean,Rolling_Std,Log_Returns,Price_RoC,Price_Delta,Loss,Gain
0,0.18,0.18,0.09,0.07,0.34,0.16,0.47,0.2,0.12,0.09,0.22,0.08,0.07,0.07,0.05,0.04,0.06,,,,,,,,0.95,0.3,,0.39,,,0.74,,,,,2.23,0.01,0.94,,,,1.82,1.72
1,0.04,0.04,0.02,0.02,0.08,0.02,0.12,0.04,0.02,0.04,0.11,0.04,0.07,0.07,0.09,0.05,0.18,,,1.51,,,,,0.36,0.38,,0.7,,,0.55,,8.74,40.5,4.53,,0.01,0.77,29.21,17.41,28.37,1.4,1.37
2,0.02,0.02,0.01,0.01,0.04,0.02,0.07,0.02,0.02,0.01,0.01,0.01,,,,0.02,0.01,,,1.14,,,,,0.55,0.1,3.29,0.23,19.67,,0.33,,,,,,0.01,0.16,,,,1.36,1.3
3,0.06,0.06,0.03,0.02,0.12,0.06,0.18,0.06,0.05,0.03,0.06,0.03,0.02,0.02,0.02,0.02,0.02,,,,,,,,0.3,0.12,,0.2,,,0.37,,,,,,0.01,0.56,,,,1.17,1.21
4,0.05,0.05,0.03,0.02,0.11,0.06,0.16,0.05,0.05,0.05,0.06,0.05,0.06,0.06,0.05,0.04,0.07,,,,,0.85,,,0.13,0.17,,0.26,,,0.24,,,,,,0.01,0.21,,,,1.09,2.21
5,0.03,0.03,0.01,0.01,0.06,0.03,0.08,0.03,0.04,0.02,0.03,0.01,0.02,0.02,0.01,0.01,0.03,,,,,6.31,,,0.23,0.17,,0.34,2.52,0.77,0.34,1.18,0.78,1.19,1.6,,0.01,0.19,6.3,5.86,6.31,1.14,1.84
6,0.05,0.05,0.03,0.02,0.1,0.04,0.15,0.05,0.04,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0.04,,,,,,,,0.13,0.11,0.87,0.25,0.76,0.73,0.24,1.59,3.65,3.63,6.8,1.43,0.01,0.31,,63.27,,1.27,1.27
7,0.03,0.03,0.02,0.01,0.06,0.03,0.09,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.01,0.01,0.04,,,,,0.95,,0.99,0.36,0.32,,0.48,,,0.56,,,,,,0.01,0.16,,,,1.16,1.97
8,0.04,0.04,0.02,0.02,0.09,0.04,0.14,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,,0.04,,,,,3.08,,,0.23,0.36,,0.73,44.73,3.68,0.43,1.52,1.18,1.04,1.33,,0.01,0.51,3.3,3.17,3.39,1.78,1.13
9,0.06,0.06,0.03,0.02,0.12,0.06,0.18,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.05,0.03,0.07,1.66,0.23,6.89,1.02,,0.54,0.62,0.12,0.06,0.3,0.23,0.26,0.27,0.28,0.3,0.28,0.34,0.95,,,0.19,1.69,1.65,1.73,1.79,0.89
