,Feature,Importance
17,Expanding_Mean,0.087894395
16,Long_EMA,0.023769572
12,Moving_Average_10,0.011974596
4,Close_Squared,0.007539139
0,Cumulative_Returns,0.0066415705
3,Log_Close,0.005711796
6,Close_Inverse,0.005323047
13,Lower_Band,0.0047153807
10,Short_EMA,0.004415312
5,Close_Cubed,0.004312866
7,Moving_Average_3,0.0038117624
2,Square_Root_Close,0.003477016
15,Moving_Average_15,0.0028955315
1,Close,0.0019545194
8,Moving_Average_5,0.0016706381
11,Rolling_Mean,0.001574252
14,Upper_Band,0.001322576
9,EMA,0.0011807985
