,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Log_Close,Moving_Average_5,Upper_Band,Close_Squared,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Long_EMA,Moving_Average_15,Close_Inverse,Expanding_Mean,Close_Cubed,Lower_Band,Price_RoC_60,Signal_Line,MACD,Price_RoC_45,Price_RoC_30,Rolling_Std,RSI,Price_RoC_15,Price_RoC_12,Price_RoC_10,Price_RoC_7,Z_Score,RS,Price_RoC_5,Price_RoC_3,Gain,Std_Dev_RoC_10,Price_Delta,Price_RoC,Log_Returns,Std_Dev_RoC_5,Tan_Close,Cos_Close,Sin_Close,Loss
0,0.02,0.02,0.01,0.02,,0.01,0.02,0.04,0.01,0.01,0.02,0.02,0.01,0.01,0.02,,0.06,0.01,0.51,,,1.35,,0.19,0.2,,,,,,0.32,,,2.32,0.18,,,,0.27,2.54,,2.53,1.21
1,0.02,0.02,0.01,0.01,,,0.01,0.03,,0.01,0.01,0.01,0.01,0.01,0.01,,0.05,,0.58,,,,,0.22,0.18,,,,,,0.34,,36.58,1.55,0.11,16.29,14.17,16.39,0.32,,,1.16,1.71
2,0.01,0.01,0.01,0.01,,0.01,,0.02,,,,,,,0.01,,0.03,,,,,,,0.09,0.09,,,,,,0.18,,,1.6,0.11,,,,0.33,,,1.55,1.25
3,0.02,0.02,0.01,0.01,,0.01,0.01,0.03,0.01,0.01,0.01,0.01,,,0.02,,0.05,,,,,,,0.2,0.12,1.34,0.72,1.43,0.94,1.53,0.29,2.76,3.55,1.7,0.22,6.39,6.1,6.37,0.43,,2.57,6.73,1.53
4,0.02,0.02,0.01,0.02,,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,0.05,0.02,,,,,,0.15,0.16,,,,,,0.27,,,1.96,0.2,,,,0.44,1.76,14.86,,0.96
5,0.02,0.02,0.01,0.01,,0.01,,0.04,0.01,0.01,,,0.01,0.01,0.02,,0.06,0.01,,,,,,0.07,0.1,,,,,,0.18,,,1.08,0.15,,,,0.22,,,,1.3
6,0.05,0.05,0.02,0.04,0.01,0.04,0.05,0.09,0.03,0.03,0.03,0.03,0.02,0.02,0.05,,0.14,0.02,2.56,,1.65,1.23,2.57,0.42,0.13,0.76,0.77,0.74,0.63,0.77,0.32,0.93,1.26,1.37,0.46,4.13,3.86,4.04,0.22,,,,1.37
7,0.02,0.02,0.01,0.02,,0.02,0.01,0.04,0.01,,0.01,0.01,,0.01,0.02,,0.06,0.01,0.48,0.09,0.31,0.85,0.4,0.15,0.15,0.91,2.4,807.18,,,0.35,,,1.66,0.25,,,,0.24,,5.86,,1.11
8,0.02,0.02,0.01,0.02,,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,,0.02,,0.07,0.01,0.37,0.04,0.16,0.44,0.25,0.12,0.17,2.36,1.7,0.73,1.39,1.3,0.37,1.14,3.52,1.28,0.16,7.73,7.17,7.72,0.29,,33.58,,1.46
9,0.04,0.04,0.02,0.03,0.01,0.02,0.03,0.08,0.02,0.02,0.02,0.02,0.01,0.01,0.04,,0.11,0.01,0.46,0.17,0.29,0.3,0.48,0.28,0.14,0.59,0.63,0.64,0.8,0.74,0.43,0.97,1.42,0.9,0.22,1.49,1.51,1.53,0.25,2.4,,15.02,1.92
10,0.02,0.02,0.01,0.01,,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.02,,0.05,0.03,0.11,0.08,0.12,0.36,0.27,0.44,0.09,0.37,0.66,1.1,1.79,137.38,0.3,6.63,,2.96,0.29,,,,0.29,,2.65,,1.01
11,0.04,0.04,0.02,0.03,0.01,0.02,0.01,0.08,0.01,0.01,0.01,0.01,,0.01,0.04,,0.12,0.03,0.26,0.39,0.6,0.74,0.65,0.28,0.26,,,,,,0.41,19.33,4.82,2.48,0.2,8.34,7.68,8.65,0.66,3.51,2.57,11.9,1.41
12,0.01,0.01,0.01,,,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,,0.04,0.06,0.25,0.17,0.1,0.18,0.61,0.64,0.07,0.37,0.66,0.8,1.32,2.82,0.18,2.7,5.46,1.92,0.3,,,,0.6,3.33,,,1.5
13,0.04,0.04,0.02,0.03,0.01,0.02,0.03,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.04,,0.13,0.02,0.25,0.07,0.25,0.32,0.97,0.63,0.15,1.15,1.48,1.76,1.69,2.22,0.34,1.79,1.94,2.02,0.39,3.21,3.18,3.21,0.62,,,,1.17
14,0.03,0.03,0.01,0.02,0.01,0.02,0.01,0.06,0.02,0.02,0.02,0.02,0.01,0.02,0.03,,0.08,0.04,0.18,0.1,0.1,0.27,0.27,0.35,0.08,0.35,0.44,0.4,1.05,0.86,0.25,1.61,3.11,1.42,0.34,5.5,5.43,5.65,0.46,3.55,,,1.53
15,0.04,0.04,0.02,0.03,0.01,0.02,0.01,0.08,0.01,0.01,0.01,0.01,0.01,,0.04,,0.11,0.03,0.5,0.14,0.41,0.41,0.5,0.4,0.24,1.99,6.79,40.01,,,0.37,,,1.81,0.46,,,,0.33,,3.71,,1.45
16,0.01,0.01,0.01,0.01,,0.01,0.02,0.03,,,0.01,0.01,,0.01,0.01,,0.04,0.01,0.24,0.8,,0.32,3.24,0.32,0.1,,,,,,0.14,,11.86,1.18,0.32,8.02,7.49,7.85,0.34,,,,1.39
17,0.07,0.07,0.04,0.08,0.01,0.08,0.09,0.14,0.05,0.05,0.04,0.04,0.03,0.03,0.08,,0.21,0.03,0.24,1.15,0.93,0.41,0.59,0.54,0.21,0.75,0.44,0.58,0.69,0.67,0.45,0.68,0.83,0.93,0.36,1.06,1.08,1.08,0.39,,,,3.0
18,0.03,0.03,0.01,0.03,0.01,0.03,0.02,0.06,0.03,0.03,0.03,0.03,0.03,0.05,0.03,0.01,0.08,0.06,0.11,0.2,0.1,0.17,0.31,0.35,0.07,0.26,0.43,0.49,0.45,0.48,0.72,0.66,1.27,1.61,0.26,2.74,2.68,2.7,0.57,1.96,2.26,,2.02
19,0.03,0.03,0.01,0.02,,0.02,0.02,0.05,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.01,0.08,0.01,0.17,0.01,0.05,0.11,0.1,0.15,0.1,0.34,0.51,0.5,0.98,1.08,0.3,1.83,2.49,1.44,0.38,5.66,5.38,5.68,0.17,,459.4,6.29,1.39
20,0.02,0.02,0.01,0.02,,0.01,0.01,0.04,0.01,,0.01,0.01,0.01,,0.02,0.01,0.05,0.02,0.19,0.17,0.29,0.11,0.64,0.38,0.18,2.12,6.82,,,,0.32,,,1.49,0.21,,,,0.41,1.81,2.59,3.29,2.28
21,0.02,0.02,0.01,0.02,,0.02,0.02,0.04,0.01,0.01,0.01,0.01,0.01,,0.02,0.01,0.06,0.01,0.21,0.08,0.12,0.17,0.25,0.11,0.19,1.33,1.6,1.21,0.78,0.56,0.56,0.34,0.47,1.14,0.39,2.33,2.29,2.31,0.46,,11.1,1.72,1.83
22,0.03,0.03,0.02,0.02,0.01,0.02,0.01,0.06,0.01,0.01,0.01,0.01,,,0.03,,0.1,0.02,0.17,0.31,0.61,0.38,2.66,0.26,0.21,1.72,61.3,,,,0.68,,,1.38,0.2,6.92,6.63,7.17,0.48,,2248.99,,1.76
23,0.01,0.01,0.01,0.01,,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.01,0.01,0.03,0.06,0.31,0.29,0.19,0.25,0.21,0.4,0.11,0.4,0.32,0.33,0.76,0.57,0.34,1.07,1.73,1.18,0.29,3.62,3.5,3.59,0.33,,3.54,4.11,1.7
24,0.02,0.02,0.01,0.02,,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.06,0.02,0.11,0.1,0.08,0.16,0.13,0.21,0.09,0.37,0.31,0.38,0.41,0.5,0.29,0.55,0.87,1.08,0.31,6.41,5.71,6.14,0.35,3.15,,3.28,2.84
25,0.1,0.1,0.05,0.06,0.02,0.03,0.08,0.2,0.03,0.03,0.02,0.02,0.02,0.02,0.1,,0.3,0.05,0.28,0.09,0.28,0.37,0.54,0.72,0.14,0.75,0.7,0.87,1.03,1.05,0.5,1.18,1.4,1.59,0.54,1.59,1.59,1.57,0.65,3.49,,2.32,
