,Close
Close,1.0
Cumulative_Returns,1.0
Square_Root_Close,0.9998437048139428
Close_Squared,0.9994077263849215
Log_Close,0.9993682019075613
Close_Cubed,0.9977224496534892
Close_Inverse,0.9973783137071569
Moving_Average_3,0.991296298268558
Moving_Average_5,0.9806503322383815
EMA,0.9649565182088469
Short_EMA,0.9562298106820056
Rolling_Mean,0.9503221443551875
Moving_Average_10,0.9503221443551875
Lower_Band,0.9305056636319738
Upper_Band,0.9209100996726716
Moving_Average_15,0.9155595948189211
Long_EMA,0.9016270607917594
Price_RoC_60,0.8712439303052177
Price_RoC_45,0.7556550214780929
Signal_Line,0.7461973430187638
MACD,0.7247730969081029
Price_RoC_30,0.6185136474826863
Price_RoC_15,0.4573591308944065
RSI,0.44111668671174065
Price_RoC_12,0.40374133056384565
Price_RoC_10,0.36313835348174034
Std_Dev_RoC_10,0.35323534237534965
RS,0.331377848199668
Price_RoC_7,0.2939103479533748
Z_Score,0.2508280561526353
Rolling_Std,0.248871207144523
Price_RoC_5,0.24281038385861997
Std_Dev_RoC_5,0.2350619185329711
Price_RoC_3,0.17465987765751792
Expanding_Mean,0.11169965306593026
Price_Delta,0.0911999317270118
Log_Returns,0.09056825799079161
Loss,0.09004667065144328
Price_RoC,0.08980574303643077
Gain,0.06119613062588518
Sin_Close,0.035406487752163145
Cos_Close,0.013416228116008344
Tan_Close,0.004230481377399419
