,Close,Cumulative_Returns,Square_Root_Close,Close_Squared,Log_Close,Close_Cubed,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Lower_Band,Moving_Average_15,Upper_Band,Long_EMA,Price_RoC_60,Price_RoC_45,Signal_Line,MACD,Price_RoC_30,Price_RoC_15,Price_RoC_12,RS,Price_RoC_10,Std_Dev_RoC_10,RSI,Price_RoC_7,Std_Dev_RoC_5,Price_RoC_5,Z_Score,Expanding_Mean,Sin_Close,Price_RoC_3,Cos_Close,Log_Returns,Loss,Price_RoC,Price_Delta,Rolling_Std,Gain,Tan_Close
0,0.11,0.11,0.06,0.22,0.03,0.32,0.12,0.1,0.08,0.06,0.05,0.05,0.05,0.14,0.04,0.03,0.03,,,,,,,,0.5,,0.86,0.39,,0.73,,,0.01,4.28,,6.4,,1.18,,,0.83,1.81,
1,0.03,0.03,0.02,0.07,0.01,0.1,0.03,0.01,0.01,0.03,0.03,0.05,0.05,0.04,0.06,0.11,0.03,,,,,,,,0.5,,0.3,0.32,,0.36,,,0.01,1.27,,,116.98,2.05,31.42,113.37,0.63,1.52,
2,0.01,0.01,,0.02,,0.02,0.01,,,,,,,0.02,,0.01,0.01,,,,,,5.5,1.54,0.31,2.78,0.42,0.15,2.47,0.51,25.8,,0.01,0.39,,,,1.09,,,0.4,2.76,
3,0.05,0.05,0.02,0.09,0.01,0.14,0.05,0.04,0.04,0.02,0.02,0.02,0.02,0.06,0.01,0.02,0.02,,,,,,,,0.55,,0.29,0.3,,0.54,,,0.01,3.59,,9.72,,1.08,,,0.66,1.45,8.26
4,0.04,0.04,0.02,0.08,0.01,0.12,0.04,0.05,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.05,0.03,,,,,,,,0.18,,0.06,0.11,,0.28,,,0.01,,,,,1.08,,,0.22,2.19,2.34
5,0.02,0.02,0.01,0.04,0.01,0.06,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,170.02,0.35,1.49,0.21,0.19,1.61,0.22,1.52,1.22,0.01,,1.67,,7.53,1.58,7.02,7.41,0.13,1.91,
6,0.03,0.03,0.02,0.07,0.01,0.1,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.04,0.01,,,,,,0.59,0.49,0.26,0.42,0.16,0.09,0.91,0.24,1.73,1.59,,,2.36,1.28,5.94,1.15,5.6,5.99,0.42,1.31,
7,0.02,0.02,0.01,0.04,0.01,0.06,0.02,0.01,0.01,,,,,0.01,0.01,,,,,0.39,0.25,0.25,0.75,1.6,0.38,2.23,0.46,0.16,,0.23,,9.8,,6.7,8.13,0.12,5.83,1.94,5.53,5.84,0.1,1.38,5.99
8,0.03,0.03,0.01,0.06,0.01,0.09,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.03,0.01,,0.72,0.29,0.34,0.3,0.55,0.8,0.56,0.77,0.23,0.15,0.38,0.58,0.4,0.31,,0.74,0.86,,2.03,1.99,2.01,2.05,0.15,1.05,1.44
9,0.04,0.04,0.02,0.07,0.01,0.1,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.03,0.51,0.15,0.26,0.2,0.17,0.2,0.2,0.38,0.34,0.04,0.07,0.42,0.39,0.79,0.47,,9.72,1.5,1.26,2.51,2.07,2.45,2.54,0.2,1.2,2.66
10,0.01,0.01,0.01,0.03,,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.11,0.16,0.02,0.08,0.17,0.61,0.68,0.32,1.19,0.15,0.12,1.1,0.16,1.39,1.6,,0.66,6.35,0.5,,1.63,,,0.18,1.66,1.55
11,0.02,0.02,0.01,0.05,0.01,0.08,0.02,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.03,0.01,0.14,0.25,0.55,1.62,0.77,,,0.73,,0.21,0.46,,0.48,,,,,,,,1.01,,,0.27,2.16,2.34
12,0.01,0.01,0.01,0.02,,0.04,0.01,0.01,0.01,,,,,,0.01,,,0.16,0.29,,,,,,0.53,,0.26,0.3,3.82,0.21,5.41,3.76,,,4.52,,4.85,1.49,4.72,4.84,0.07,1.16,2.45
13,0.03,0.03,0.01,0.06,0.01,0.09,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.79,,,,,,,0.34,,0.2,0.22,,0.21,,,,0.65,,,,1.14,,,0.24,2.5,3.46
14,0.02,0.02,0.01,0.03,,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,,,,,,,,0.41,,0.26,0.27,,0.39,,,,1.53,,0.25,26.65,1.72,22.12,26.69,0.15,1.29,1.79
15,0.04,0.04,0.02,0.08,0.01,0.12,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.02,,0.02,0.01,,,,,,,,0.41,75.93,0.15,0.15,,0.36,,,,110.92,,1.09,,1.44,,,0.29,2.01,
16,0.04,0.04,0.02,0.09,0.01,0.13,0.05,0.05,0.05,0.03,0.02,0.02,0.02,0.02,0.01,0.05,0.01,,,,,3.18,1.43,1.27,0.33,1.52,0.36,0.15,0.79,0.38,1.22,1.06,,3.0,1.97,,2.53,1.4,2.5,2.61,0.33,1.54,
17,0.03,0.03,0.02,0.06,0.01,0.09,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.02,1.37,0.88,0.48,0.31,0.27,0.3,0.54,0.38,0.39,0.37,0.1,0.66,0.24,1.22,0.66,,,1.69,1.38,2.48,1.85,2.46,2.46,0.15,1.62,
18,0.03,0.03,0.02,0.06,0.01,0.09,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.56,0.28,0.11,0.11,0.35,0.46,0.33,0.41,0.34,0.25,0.1,0.89,0.45,1.0,0.64,,2.44,1.06,1.38,1.63,1.87,1.63,1.63,0.39,1.04,
19,0.04,0.04,0.02,0.08,0.01,0.11,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.03,0.24,0.19,0.15,0.15,0.2,0.37,0.36,0.64,0.29,0.21,0.12,0.56,0.53,1.28,0.75,,,2.22,3.12,4.22,1.89,4.03,4.35,0.3,1.63,
20,0.01,0.01,,0.02,,0.03,0.01,,,0.01,0.01,,,0.02,0.01,0.01,0.01,0.06,0.1,0.07,0.13,0.24,0.78,1.4,0.4,2.0,0.16,0.18,132.3,0.5,3.43,2.06,,,2.12,0.24,13.32,1.76,12.27,13.37,0.48,1.06,
21,0.02,0.02,0.01,0.04,0.01,0.07,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0.01,,0.16,0.19,0.35,0.67,0.55,,,0.36,,0.2,0.21,,0.38,,,,,,,,0.91,,,0.39,2.29,
22,0.03,0.03,0.02,0.06,0.01,0.09,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.4,0.5,0.69,5.5,,,,0.16,,0.2,0.09,,0.28,,,,,,,,1.7,,,0.2,1.41,
23,0.01,0.01,0.01,0.03,,0.04,0.01,0.01,0.01,,,0.01,0.01,0.01,0.01,0.02,,0.24,,,,,,,0.32,,0.17,0.18,2.14,0.4,1.38,1.83,,,2.18,,6.73,1.73,6.41,6.71,0.37,1.37,8.26
24,0.02,0.02,0.01,0.05,0.01,0.07,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.19,,,1.89,2.59,0.54,0.37,0.25,0.62,0.46,0.08,0.87,0.31,0.98,0.8,,,1.16,,3.12,1.47,3.07,3.08,0.42,1.3,
