,Feature,Importance
16,Expanding_Mean,0.089444384
9,Short_EMA,0.0077124275
11,Moving_Average_10,0.005835178
15,Long_EMA,0.005129096
2,Square_Root_Close,0.0048356005
3,Close_Squared,0.0039786277
14,Moving_Average_15,0.0035870299
13,Upper_Band,0.0033430688
7,Moving_Average_5,0.0030229131
5,Moving_Average_3,0.0029220385
6,Close_Inverse,0.002530377
12,Lower_Band,0.0025039392
8,EMA,0.0019508589
4,Log_Close,0.0017387934
1,Cumulative_Returns,0.0017089294
10,Rolling_Mean,0.0010700257
0,Close,0.00089259015
