,Feature,Importance
8,Expanding_Mean,0.094067074
7,Long_EMA,0.011110658
5,Moving_Average_10,0.009945301
2,EMA,0.005217557
6,Moving_Average_15,0.005097992
3,Short_EMA,0.004131226
1,Log_Close,0.0031410954
4,Rolling_Mean,0.0022134457
0,Square_Root_Close,0.0011324622
