,Feature,Importance
17,Expanding_Mean,0.097374305
0,Close,0.0057168445
5,Close_Inverse,0.004783886
14,Moving_Average_15,0.004367615
10,Short_EMA,0.004270741
13,Moving_Average_10,0.0041771494
15,Long_EMA,0.0040133223
1,Cumulative_Returns,0.0038893954
12,Rolling_Mean,0.0036137416
2,Square_Root_Close,0.0035780899
8,Moving_Average_5,0.0031977922
3,Log_Close,0.0030662944
11,Lower_Band,0.0029974587
9,EMA,0.0025888856
16,Upper_Band,0.0023610196
4,Close_Squared,0.0015659034
7,Moving_Average_3,0.0015292913
6,Close_Cubed,0.0013434377
