,Close,Cumulative_Returns,Square_Root_Close,Close_Squared,Log_Close,Moving_Average_3,Close_Cubed,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Lower_Band,Upper_Band,Moving_Average_15,Long_EMA,Price_RoC_60,Signal_Line,Price_RoC_45,MACD,Price_RoC_30,RSI,Price_RoC_15,Price_RoC_12,Z_Score,Price_RoC_10,Price_RoC_7,Price_RoC_5,Rolling_Std,RS,Gain,Price_RoC_3,Expanding_Mean,Price_Delta,Price_RoC,Log_Returns,Sin_Close,Cos_Close,Std_Dev_RoC_10,Std_Dev_RoC_5,Loss,Tan_Close
10,0.11,0.11,0.06,0.23,0.03,0.1,0.35,0.11,0.09,0.06,0.05,0.05,0.05,0.14,0.03,0.03,0.02,0.6,0.58,1.51,2.65,1.81,0.51,,,,,,,0.59,1.02,2.27,,,,,,,2.29,0.18,0.54,1.48,5.09
11,0.02,0.02,0.01,0.05,0.01,0.03,0.07,0.02,0.03,0.04,0.04,0.05,0.05,0.01,0.1,0.07,0.03,,,,,,0.4,,,,,,,0.6,0.46,1.6,,,,,,42.89,1.11,0.23,0.57,1.09,
12,0.04,0.04,0.02,0.07,0.01,0.03,0.1,0.04,0.02,0.01,0.01,,,0.02,0.01,0.01,0.02,,,,,,0.17,,,14.57,,,,0.36,0.3,1.42,,,,,,1.8,,0.26,0.4,1.75,
13,0.08,0.08,0.04,0.16,0.02,0.08,0.24,0.08,0.07,0.06,0.05,0.05,0.05,0.09,0.03,0.04,0.04,,,,,,0.54,,,,,,,0.26,0.71,3.32,,,,,,2.43,22.73,0.18,0.38,0.72,
14,0.04,0.04,0.02,0.07,0.01,0.03,0.11,0.04,0.02,0.02,0.02,0.03,0.03,0.01,0.05,0.04,0.03,,,,,,0.75,,,,,,19.3,0.38,1.05,1.57,5.77,0.01,9.18,8.45,9.28,,3.08,0.64,0.42,1.59,6.84
15,0.04,0.04,0.02,0.08,0.01,0.03,0.12,0.04,0.02,0.01,0.01,0.01,0.01,0.02,0.01,,0.02,,,,,,0.14,,,,,,,0.2,0.28,1.73,,,,,,4.2,2.58,0.26,0.33,1.39,5.16
16,0.11,0.11,0.06,0.21,0.03,0.11,0.31,0.12,0.09,0.06,0.05,0.04,0.04,0.04,0.08,0.02,0.02,,,,,7.49,0.29,2.74,2.2,1.98,1.95,1.45,1.43,0.39,0.51,1.08,1.3,,1.49,1.5,1.5,2.36,5.46,0.38,0.56,2.16,2.43
17,0.04,0.04,0.02,0.09,0.01,0.05,0.13,0.05,0.05,0.05,0.05,0.05,0.05,0.09,0.03,0.06,0.04,6.06,0.61,0.97,0.29,0.16,0.1,0.3,0.34,0.23,0.39,0.23,0.4,0.19,0.56,1.03,0.75,,1.2,1.23,1.22,2.56,,0.27,0.64,2.89,
18,0.04,0.04,0.02,0.08,0.01,0.04,0.13,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.5,0.13,0.21,0.08,0.2,0.03,0.09,0.19,0.21,0.22,0.21,0.32,0.06,0.28,1.2,0.44,,1.3,1.31,1.31,2.96,3.43,0.5,0.39,2.14,
19,0.04,0.04,0.02,0.09,0.01,0.04,0.13,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.29,0.06,0.12,0.06,0.21,0.04,0.14,0.09,0.27,0.23,0.25,0.41,0.15,0.4,1.55,0.83,,2.35,2.32,2.34,4.7,1.17,0.07,0.33,1.52,
20,0.07,0.07,0.04,0.14,0.02,0.06,0.21,0.07,0.05,0.03,0.02,0.02,0.02,0.06,0.02,0.01,0.01,0.25,0.17,0.11,0.42,0.53,0.35,2.01,7.82,,,,,0.37,0.92,1.64,,,,,,,,0.53,0.52,1.43,26.33
21,0.03,0.03,0.01,0.05,0.01,0.02,0.08,0.03,0.02,0.02,0.02,0.03,0.03,0.01,0.06,0.04,0.01,0.1,0.89,0.33,,5.6,0.24,,,,,,,0.47,0.31,1.75,,,,,,,,0.43,0.38,1.18,
22,0.03,0.03,0.01,0.06,0.01,0.02,0.09,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,,0.35,,0.5,,,0.15,,19.22,1.86,2.41,1.8,2.1,0.14,0.27,1.1,3.73,,3.52,3.32,3.48,,7.18,0.07,0.38,1.99,
23,0.06,0.06,0.03,0.13,0.01,0.02,0.2,0.06,0.01,0.01,0.01,,,0.02,0.03,0.01,,0.41,,,,,0.12,2.07,2.11,32.11,4.41,4.82,7.45,0.5,0.27,1.6,6.37,,4.32,4.13,4.5,,,0.15,0.44,1.47,
24,0.03,0.03,0.01,0.05,0.01,0.02,0.08,0.03,0.03,0.03,0.03,0.04,0.04,0.09,0.03,0.03,0.02,0.3,0.5,3.86,0.24,0.32,0.05,0.22,0.34,0.91,0.36,1.02,1.54,0.35,0.16,1.16,2.25,,13.82,11.77,14.3,,,0.29,0.4,1.65,
25,0.03,0.03,0.01,0.05,0.01,0.02,0.08,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.24,0.08,0.14,0.08,0.15,0.14,0.22,0.75,0.45,0.53,0.67,0.45,0.21,0.35,1.51,0.74,,28.0,18.95,27.15,,1.4,0.06,0.19,2.0,4.6
