,Close
Close,1.0
Cumulative_Returns,0.9999999999999998
Square_Root_Close,0.9995610157321475
Close_Squared,0.9983450717341306
Log_Close,0.9983132984854609
Close_Cubed,0.9936813081620274
Close_Inverse,0.9926601293603199
Moving_Average_3,0.9902051418718327
Moving_Average_5,0.977834781217579
EMA,0.9566160649642911
Short_EMA,0.9438724008327362
Rolling_Mean,0.9430561201072584
Moving_Average_10,0.9430561201072584
Lower_Band,0.9383222267660948
Moving_Average_15,0.9007004551992635
Upper_Band,0.8697557683770667
Long_EMA,0.8423709650739061
Price_RoC_60,0.8100287576762363
Price_RoC_45,0.7020628162867694
Signal_Line,0.6439710265222454
MACD,0.584603884934529
Price_RoC_30,0.5242379253284173
Price_RoC_15,0.34128079801070166
Price_RoC_12,0.299156387405665
RS,0.2947525704499397
Price_RoC_10,0.27238251924335094
Std_Dev_RoC_10,0.26680414974078853
RSI,0.2581571464836751
Price_RoC_7,0.2230632711403084
Std_Dev_RoC_5,0.22045759257348696
Price_RoC_5,0.1866115532660244
Z_Score,0.17412291679590045
Expanding_Mean,0.16332709131324893
Sin_Close,0.14587127261933613
Price_RoC_3,0.13964062377832565
Cos_Close,0.08974693305774355
Log_Returns,0.0771154813441486
Loss,0.07616136127332994
Price_RoC,0.07410777711812368
Price_Delta,0.07381880542737453
Rolling_Std,0.05482428916810578
Gain,0.04355150465207087
Tan_Close,0.008789674721652783
