,Feature,Importance
17,Expanding_Mean,0.09223185
15,Long_EMA,0.01038977
1,Cumulative_Returns,0.0059674093
6,Close_Inverse,0.0050538573
10,Short_EMA,0.004231365
2,Square_Root_Close,0.0038824058
5,Close_Cubed,0.003788028
9,EMA,0.0037258405
14,Moving_Average_15,0.0036001317
11,Rolling_Mean,0.0035265982
3,Log_Close,0.003058458
0,Close,0.002641567
8,Moving_Average_5,0.0025785207
7,Moving_Average_3,0.002260184
4,Close_Squared,0.0018337842
13,Lower_Band,0.0016259411
12,Moving_Average_10,0.0012207294
16,Upper_Band,0.0012201145
