,Feature,Importance
17,Expanding_Mean,0.09267186
15,Long_EMA,0.010747877
8,Moving_Average_5,0.0066838427
14,Moving_Average_15,0.0058873277
12,Moving_Average_10,0.0053724684
11,Rolling_Mean,0.0052781114
10,Short_EMA,0.0051181247
6,Close_Inverse,0.004646787
1,Cumulative_Returns,0.0036872223
5,Close_Cubed,0.003401141
7,Moving_Average_3,0.0029402222
0,Close,0.0027766188
2,Square_Root_Close,0.0023591695
16,Upper_Band,0.0022691311
3,Log_Close,0.002109394
13,Lower_Band,0.0012991835
4,Close_Squared,0.0010097009
9,EMA,0.0007479227
