,Feature,Importance
16,Expanding_Mean,0.03670336
14,Long_EMA,0.02307338
13,Moving_Average_15,0.0082973065
15,Upper_Band,0.0068676225
5,Close_Inverse,0.005779466
4,Close_Squared,0.005321218
10,Rolling_Mean,0.0048534847
9,Short_EMA,0.00403828
12,Lower_Band,0.0038342774
8,EMA,0.0029101116
11,Moving_Average_10,0.0028766785
0,Close,0.0024832417
3,Log_Close,0.002152761
6,Moving_Average_3,0.0021056444
2,Square_Root_Close,0.0021018358
1,Cumulative_Returns,0.0017572971
7,Moving_Average_5,0.0015856165
