,Cumulative_Returns,Close,Square_Root_Close,Close_Squared,Log_Close,Close_Cubed,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Price_RoC_45,Lower_Band,Upper_Band,Moving_Average_15,MACD,Signal_Line,Price_RoC_60,Long_EMA,Price_RoC_30,RSI,Price_RoC_15,RS,Price_RoC_12,Price_RoC_10,Z_Score,Price_RoC_7,Price_RoC_5,Price_RoC_3,Expanding_Mean,Price_Delta,Log_Returns,Price_RoC,Gain,Std_Dev_RoC_5,Tan_Close,Loss,Cos_Close,Rolling_Std,Sin_Close,Std_Dev_RoC_10
10,0.04,0.04,0.02,0.08,0.01,0.12,0.04,0.03,0.02,0.02,0.01,0.01,0.01,,0.01,0.01,0.02,,,0.34,0.01,,0.18,,0.3,,,,,,,,,,,1.07,0.24,,1.82,,0.1,,0.16
11,0.02,0.02,0.01,0.04,,0.06,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,,,3.62,0.01,,0.16,,0.27,,,,,,,,,,,1.67,0.32,5.14,1.27,,0.19,,0.18
12,0.03,0.03,0.02,0.06,0.01,0.09,0.03,0.04,0.04,0.03,0.03,0.03,0.03,1.73,0.02,0.05,0.02,2.07,,,0.01,2.38,0.12,0.42,0.35,0.68,0.52,0.44,0.56,0.85,0.99,,1.58,1.55,1.53,0.79,0.38,4.71,2.16,,0.35,,0.24
13,0.04,0.04,0.02,0.08,0.01,0.13,0.04,0.04,0.04,0.03,0.02,0.03,0.03,,0.05,0.02,0.01,,1.2,,0.01,,0.44,,0.73,,,,,,,,,,,3.19,0.21,,0.9,,0.31,2.34,0.39
14,0.02,0.02,0.01,0.03,,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.02,0.02,,,,0.01,,0.4,,0.57,,,,,,,,,,,1.32,0.36,,1.27,0.89,0.18,1.91,0.13
15,0.05,0.05,0.02,0.1,0.01,0.15,0.05,0.04,0.04,0.03,0.02,0.02,0.02,,0.05,0.01,0.01,,,,0.02,,0.18,,0.31,,,,,,,,,,,1.83,0.36,,1.01,3.4,0.44,5.63,0.29
16,0.05,0.05,0.03,0.1,0.01,0.16,0.05,0.04,0.04,0.02,0.01,0.01,0.01,,0.01,0.03,0.01,,,,0.01,,0.32,,0.67,,32.24,1.54,2.17,1.34,0.77,,1.46,1.45,1.44,1.01,0.41,,2.12,4.42,0.27,19.59,0.43
17,0.02,0.02,0.01,0.05,0.01,0.07,0.03,0.03,0.04,0.03,0.03,0.04,0.04,,0.06,0.03,0.04,0.54,3.58,0.95,0.02,0.36,0.08,0.23,0.26,0.21,0.23,0.34,0.42,0.61,1.02,,2.73,2.73,2.7,1.49,0.54,,1.68,0.71,0.18,,0.37
18,0.03,0.03,0.02,0.07,0.01,0.1,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.38,0.01,0.03,0.03,0.13,0.2,1.67,0.02,0.4,0.05,0.23,0.26,0.25,0.28,0.36,0.45,0.53,0.51,,1.51,1.54,1.52,0.93,0.35,2.79,2.64,8.99,0.26,,0.3
19,0.03,0.03,0.02,0.06,0.01,0.09,0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.17,0.03,0.04,0.03,0.1,0.12,0.27,0.03,0.12,0.05,0.22,0.35,0.17,0.24,0.4,0.28,0.62,1.1,,2.78,2.71,2.64,1.21,0.46,,3.13,3.71,0.16,0.99,0.09
20,0.05,0.05,0.02,0.1,0.01,0.15,0.05,0.05,0.04,0.02,0.02,0.02,0.02,0.12,0.05,0.02,0.01,0.44,0.2,0.23,0.01,0.47,0.34,2.56,0.82,,,,,,,,,,,2.27,0.5,4.65,1.57,4.1,0.48,4.31,0.4
21,0.01,0.01,0.01,0.02,,0.04,0.01,0.01,0.01,,,0.01,0.01,0.23,0.03,0.02,0.01,0.14,0.26,0.21,,0.33,0.21,,0.48,,,1.08,2.34,1.29,2.47,,,,1090.96,1.24,0.57,4.51,1.58,,0.48,,0.27
22,0.02,0.02,0.01,0.05,0.01,0.07,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.49,0.02,0.01,,3.1,0.64,0.29,,,0.2,,0.42,,,,,,,,,,,1.99,0.34,10.62,1.53,4.52,0.33,2.45,0.21
23,0.11,0.11,0.06,0.22,0.03,0.33,0.11,0.1,0.08,0.06,0.05,0.04,0.04,,0.13,0.04,0.03,,,7.24,0.03,,0.32,,0.49,,,,,,,,,,,1.68,0.62,3.06,1.86,6.64,0.66,2.64,0.51
24,0.03,0.03,0.01,0.06,0.01,0.08,0.03,0.02,0.02,0.01,0.01,0.02,0.02,,0.06,0.08,0.03,,,,0.02,,0.35,,0.67,,,2.13,21.15,1.39,2.03,,4.49,4.58,4.27,1.26,0.67,2.54,2.68,,0.74,,0.35
25,0.01,0.01,0.01,0.02,,0.03,0.01,,0.01,,,0.01,0.01,,0.01,0.01,0.01,,,,,,0.07,0.27,0.2,0.23,0.49,0.56,0.46,0.95,1.9,,,,,1.14,0.22,,2.0,1.19,0.03,,0.41
