,Feature,Importance
17,Expanding_Mean,0.09394282
5,Close_Cubed,0.006740812
6,Close_Inverse,0.0046238243
3,Log_Close,0.0040357
11,Rolling_Mean,0.0031831067
4,Close_Squared,0.0030977605
7,Moving_Average_3,0.0028765888
12,Moving_Average_10,0.0023760796
10,Short_EMA,0.0023499771
2,Square_Root_Close,0.0018594451
13,Upper_Band,0.0018543849
16,Long_EMA,0.0017925656
0,Cumulative_Returns,0.0017355982
14,Lower_Band,0.0017047519
1,Close,0.001285895
15,Moving_Average_15,0.0011396252
9,EMA,0.0010363978
8,Moving_Average_5,0.0008238313
