,Feature,Importance
16,Expanding_Mean,0.094144925
0,Close,0.0051873405
4,Close_Squared,0.0041748295
11,Moving_Average_10,0.004172072
1,Cumulative_Returns,0.0039283317
10,Rolling_Mean,0.003913083
9,Short_EMA,0.0033803377
7,Moving_Average_5,0.0033695903
2,Square_Root_Close,0.003195859
6,Moving_Average_3,0.002792199
14,Long_EMA,0.0021996417
5,Close_Inverse,0.0020849104
15,Upper_Band,0.0020434107
13,Moving_Average_15,0.0017359194
3,Log_Close,0.0015021663
12,Lower_Band,0.0011995835
8,EMA,0.00094990537
