,Cumulative_Returns,Close,Square_Root_Close,Close_Squared,Log_Close,Moving_Average_3,Close_Cubed,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Lower_Band,Long_EMA,Price_RoC_60,Expanding_Mean,Price_RoC_45,Signal_Line,MACD,Price_RoC_30,RSI,RS,Price_RoC_15,Z_Score,Price_RoC_12,Price_RoC_10,Price_RoC_7,Rolling_Std,Price_RoC_5,Cos_Close,Price_RoC_3,Gain,Price_Delta,Log_Returns,Price_RoC,Std_Dev_RoC_5,Loss,Std_Dev_RoC_10,Tan_Close,Sin_Close
15,0.03,0.03,0.01,0.06,0.01,0.03,0.08,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.03,0.01,,,,,,,0.15,0.26,,,,,,0.31,,2.03,,1.55,,,,0.3,0.95,0.12,5.34,38.23
16,0.1,0.1,0.05,0.2,0.02,0.1,0.29,0.1,0.08,0.05,0.05,0.04,0.04,0.11,0.02,0.05,0.02,,,,,19.85,2.6,0.32,0.62,1.74,1.6,1.46,1.23,0.96,0.68,1.09,1.25,1.46,1.69,2.41,2.41,2.41,0.8,1.42,0.67,,
17,0.05,0.05,0.03,0.1,0.01,0.06,0.14,0.05,0.06,0.05,0.05,0.06,0.06,0.04,0.06,0.09,0.04,0.28,,0.36,0.42,0.25,0.21,0.05,0.27,0.22,0.28,0.34,0.35,0.33,0.14,0.47,,0.76,1.36,1.7,1.69,1.68,0.46,1.66,0.23,2.62,
18,0.02,0.02,0.01,0.05,,0.02,0.08,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.03,0.16,,0.1,0.03,0.05,0.15,0.06,0.36,0.24,0.66,0.51,0.66,0.76,0.59,1.05,15.14,1.41,1.38,2.01,2.02,2.01,0.65,1.91,0.24,,28.7
19,0.03,0.03,0.01,0.05,,0.02,0.08,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.14,,0.14,0.03,0.05,0.28,0.06,0.33,0.25,0.44,0.24,0.19,0.5,0.16,0.62,,1.09,1.15,2.98,3.0,2.93,0.29,1.85,0.34,1.72,
20,0.02,0.02,0.01,0.05,,0.02,0.07,0.02,0.02,0.01,,0.01,0.01,,0.01,0.01,0.01,0.08,,0.06,0.14,0.27,0.57,0.15,0.41,1.05,,1.46,5.31,,0.14,,,,1.68,,,,0.34,1.37,0.38,,1.89
21,0.01,0.01,0.01,0.02,,0.01,0.04,0.01,0.01,,,,,0.01,0.01,0.01,,0.07,,0.3,0.23,0.33,0.46,0.19,0.36,,,,,,0.21,17.32,,,2.13,,,,0.48,1.24,0.34,0.74,
22,0.02,0.02,0.01,0.04,,0.01,0.06,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.32,,0.13,0.08,0.13,0.96,0.14,0.3,1.08,0.82,1.04,0.65,0.73,0.18,1.31,,1.62,1.12,2.58,2.6,2.55,0.28,1.94,0.11,2.3,1.44
23,0.02,0.02,0.01,0.03,,0.03,0.05,0.02,0.04,0.03,0.02,0.03,0.03,0.05,0.02,0.04,0.01,1.33,,,,,,0.05,0.08,,,,,,0.29,,,,1.34,,,,0.44,2.46,0.29,,17.75
24,0.01,0.01,0.01,0.02,,0.01,0.03,0.01,0.01,0.01,0.01,,,,0.01,,0.01,,,,,,,0.25,0.46,,,,,,0.12,,,,1.42,,,,0.27,1.11,0.26,19.65,
25,0.01,0.01,,0.01,,,0.02,0.01,,,,,,,,,,,,,,,,0.14,0.25,,0.91,,4.75,2.61,0.02,0.28,,1.81,1.38,,,,0.24,1.53,0.09,2.33,
