,Feature,Importance
17,Expanding_Mean,0.08356191
15,Long_EMA,0.0169238
11,Rolling_Mean,0.006900695
6,Close_Inverse,0.006335065
4,Log_Close,0.0053590704
13,Upper_Band,0.0050670966
3,Close_Squared,0.004603331
16,Lower_Band,0.004522434
5,Close_Cubed,0.004058893
14,Moving_Average_15,0.0038013891
8,Moving_Average_5,0.003741476
9,EMA,0.0036713756
10,Short_EMA,0.0031299181
2,Square_Root_Close,0.0029727914
12,Moving_Average_10,0.0029521908
7,Moving_Average_3,0.0028969052
1,Close,0.002308483
0,Cumulative_Returns,0.0010727032
