,Feature,Importance
16,Expanding_Mean,0.09529607
14,Long_EMA,0.007480646
4,Log_Close,0.0053505385
5,Close_Inverse,0.0049865656
9,Short_EMA,0.004880314
1,Close,0.0039629685
0,Cumulative_Returns,0.0033119186
7,Moving_Average_5,0.0030212812
12,Moving_Average_10,0.0026783436
13,Moving_Average_15,0.0024790075
11,Rolling_Mean,0.0024590343
3,Close_Squared,0.0022388645
10,Lower_Band,0.0020577596
2,Square_Root_Close,0.0016999862
8,EMA,0.0016056795
15,Upper_Band,0.0015818467
6,Moving_Average_3,0.0012902946
