,Feature,Importance
16,Expanding_Mean,0.09058269
8,EMA,0.008307693
0,Close,0.0077335723
3,Log_Close,0.0067939027
5,Close_Inverse,0.0061637433
7,Moving_Average_5,0.005353313
11,Moving_Average_10,0.0048982385
10,Rolling_Mean,0.0045486526
1,Cumulative_Returns,0.0045339167
4,Close_Squared,0.0044687293
14,Moving_Average_15,0.004442758
15,Long_EMA,0.0040398994
9,Short_EMA,0.0030436504
13,Upper_Band,0.0024474296
6,Moving_Average_3,0.0021551363
12,Lower_Band,0.0019974785
2,Square_Root_Close,0.0013031972
