,Cumulative_Returns,Close,Square_Root_Close,Close_Squared,Log_Close,Moving_Average_3,Close_Cubed,Moving_Average_5,Close_Inverse,EMA,Upper_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Price_RoC_60,Moving_Average_15,Long_EMA,Lower_Band,Price_RoC_45,Signal_Line,MACD,Expanding_Mean,Price_RoC_30,Price_RoC_15,Price_RoC_12,RS,Price_RoC_10,RSI,Price_RoC_7,Price_RoC_5,Std_Dev_RoC_10,Loss,Z_Score,Price_RoC_3,Rolling_Std,Sin_Close,Price_Delta,Log_Returns,Price_RoC,Std_Dev_RoC_5,Gain,Cos_Close,Tan_Close
0,0.03,0.03,0.01,0.06,0.01,0.03,0.09,0.03,0.03,0.02,0.01,0.01,0.01,0.01,,0.01,0.01,0.03,,,,,,,,0.37,,0.19,,,0.2,1.32,,,0.3,14.49,,,,0.19,1.64,,
1,0.04,0.04,0.02,0.09,0.01,0.03,0.13,0.03,0.05,0.02,0.01,0.02,0.02,0.02,,0.02,0.01,0.04,,,,,,,,0.3,,0.2,,,0.14,2.01,,,0.23,,,,,0.26,1.18,6.9,2.91
2,0.01,0.01,0.01,0.03,,0.01,0.04,0.01,0.01,,0.01,,,,,0.01,,0.02,,,,,,173.69,7.33,0.47,2.42,0.19,,,0.08,1.69,,36.58,0.51,2.07,29.87,30.21,24.09,0.62,1.04,4.75,
3,0.02,0.02,0.01,0.04,,0.02,0.05,0.03,0.02,0.02,0.03,0.02,0.03,0.03,2.53,0.02,0.01,0.05,0.62,2.51,0.53,,0.79,0.24,0.25,0.15,0.29,0.05,0.93,1.5,0.22,1.66,1.21,2.48,0.28,,3.71,3.67,3.57,0.41,1.72,,
4,0.05,0.05,0.02,0.09,0.01,0.05,0.14,0.05,0.05,0.04,0.05,0.04,0.03,0.03,0.43,0.03,0.03,0.02,0.69,0.33,0.31,,0.34,0.25,0.46,0.18,0.62,0.05,0.59,0.48,0.25,1.72,0.28,0.55,0.3,9.33,1.94,1.97,1.94,0.32,1.12,,
5,0.01,0.01,0.01,0.02,,0.01,0.03,0.01,0.01,,0.01,0.01,0.01,0.01,0.14,0.02,0.01,0.02,0.31,0.05,0.16,,0.19,0.56,1.08,0.3,2.42,0.12,,,0.11,1.31,,,0.36,,,,,0.43,1.68,5.11,
6,0.02,0.02,0.01,0.04,,0.02,0.06,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.22,0.01,0.01,0.02,0.11,0.03,0.07,,0.13,0.44,0.81,0.3,0.38,0.12,0.75,1.25,0.26,2.27,0.72,1.55,0.25,1.23,2.57,2.55,2.51,0.26,1.16,12.93,2.13
7,0.04,0.04,0.02,0.08,0.01,0.03,0.11,0.03,0.04,0.01,0.01,0.01,0.01,0.01,0.33,0.01,,0.02,0.52,0.21,0.56,,1.68,7.47,,0.64,,0.32,,,0.36,0.89,,,0.31,34.3,,,,0.38,1.97,2.77,
8,0.02,0.02,0.01,0.03,,0.02,0.05,0.01,0.02,0.02,0.04,0.02,0.02,0.02,0.38,0.02,0.01,0.01,1.76,,,,,,,0.66,,0.48,,,0.34,1.86,,,0.45,2.11,,,,0.38,1.73,13.04,6.46
9,0.02,0.02,0.01,0.03,,0.02,0.05,0.01,0.02,0.02,0.01,0.02,0.01,0.01,1.19,0.01,0.01,0.02,,,,,,,,0.17,,0.13,,,0.41,0.66,,,0.1,8.88,,,,0.33,2.34,,
10,0.05,0.05,0.02,0.09,0.01,0.05,0.14,0.04,0.04,0.03,0.01,0.03,0.03,0.03,,0.02,0.02,0.06,,,,,,,,0.4,,0.3,,,0.53,1.31,,,0.46,,,,,0.59,1.83,,7.34
11,0.02,0.02,0.01,0.03,,0.02,0.05,0.02,0.02,0.02,0.03,0.02,0.02,0.02,,0.03,0.02,0.01,,,,,,,,0.67,,0.43,,,0.26,1.21,,,0.41,,,,,0.52,1.66,,
12,0.01,0.01,0.01,0.03,,0.02,0.04,0.02,0.02,0.01,0.03,0.01,0.02,0.02,,0.01,,0.03,,,,,,0.45,0.52,0.31,0.47,0.13,0.74,1.33,0.24,1.64,0.84,1.9,0.32,10.4,2.78,2.74,2.72,0.22,1.35,,
13,0.04,0.04,0.02,0.08,0.01,0.04,0.12,0.04,0.04,0.03,0.01,0.02,0.03,0.03,,0.01,0.02,0.05,,,,,,,,1.0,,0.57,,,0.3,1.34,,,0.39,,,,,0.51,2.09,,148.41
14,0.03,0.03,0.02,0.07,0.01,0.03,0.1,0.02,0.03,0.01,0.02,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,,,0.65,17684.73,0.37,2.2,1.49,0.49,1.81,2.39,2.14,0.24,,5.02,5.15,4.89,0.2,1.25,2.65,
15,0.03,0.03,0.01,0.05,0.01,0.02,0.08,0.02,0.03,0.01,0.01,0.01,0.01,0.01,,,0.01,0.02,,,,,,3.09,,0.28,,0.14,,,0.21,1.09,,,0.22,1.94,,,,0.3,1.91,5.24,1.42
16,0.04,0.04,0.02,0.08,0.01,0.03,0.12,0.03,0.04,0.02,0.03,0.01,0.01,0.01,,,0.01,0.01,,,,,2.93,,7.2,0.28,3.39,0.16,1.68,2.84,0.31,1.31,2.33,6.09,0.33,,15.74,14.89,11.63,0.56,1.62,,
17,0.04,0.04,0.02,0.09,0.01,0.04,0.13,0.03,0.04,0.02,0.02,0.02,0.01,0.01,1.61,0.01,0.01,0.01,9.55,1.93,1.1,,0.79,0.58,0.61,0.15,1.26,0.06,2.06,1.41,0.16,2.03,1.44,1.13,0.2,,2.01,2.07,2.04,0.21,1.06,,
18,0.04,0.04,0.02,0.09,0.01,0.04,0.13,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.88,0.03,0.02,0.04,0.33,0.37,0.29,,0.47,0.51,0.32,0.46,0.31,0.13,0.3,0.68,0.22,2.06,0.44,1.24,0.17,3.08,2.96,2.96,2.9,0.36,1.41,,9.94
19,0.15,0.15,0.07,0.34,0.02,0.05,0.58,0.04,0.11,0.04,0.1,0.04,0.04,0.04,0.61,0.03,0.03,0.07,0.7,0.14,0.23,,0.65,0.75,0.87,0.43,1.09,0.08,1.32,1.89,0.73,1.93,0.81,2.48,0.85,,2.89,2.84,2.87,1.24,2.53,,3.16
20,,,,0.01,,0.03,0.01,0.07,,0.07,0.08,0.07,0.1,0.1,0.08,0.08,0.07,0.31,0.04,0.25,0.11,0.01,0.1,0.1,0.1,0.1,0.36,0.01,0.87,1.31,0.32,1.49,0.56,2.13,0.54,0.65,,,,0.66,1.25,,
21,,,,,,,0.01,,,0.01,,0.01,,,0.05,0.02,0.03,,0.06,0.08,0.16,0.01,0.12,1.31,3.19,1.48,36.2,0.38,71.71,,0.54,1.03,,,0.26,0.42,,,,0.52,2.16,,
22,,,,0.01,,,0.01,,,,,,,,0.08,,0.01,,0.07,0.2,0.23,0.01,0.51,,,0.51,,0.34,,,0.18,1.5,,,0.12,9.0,14.34,14.36,14.0,0.63,1.69,1.27,
23,,,,0.01,,,0.01,,,,,,,,0.1,,0.01,0.01,0.09,0.17,0.15,0.01,0.63,0.38,0.32,0.21,0.38,0.07,0.41,1.25,0.18,1.74,0.52,1.53,0.21,,3.07,3.06,3.05,0.45,1.21,173.06,
24,0.01,0.01,,0.01,,,0.02,,0.01,,,,,,0.11,,,,1.56,0.23,0.24,,2.3,,,0.17,,0.08,,,0.21,1.6,,,0.13,,,,,0.51,1.3,,2.84
25,0.01,0.01,0.01,0.03,,0.01,0.04,0.01,0.01,,0.01,,,,0.03,,,,0.54,0.02,0.14,,0.5,0.9,1.17,0.28,0.66,0.11,0.47,0.98,0.31,1.31,0.4,0.95,0.3,3.24,1.61,1.61,1.61,0.8,1.35,,2.72
