,Close
Cumulative_Returns,1.0000000000000009
Close,1.0
Square_Root_Close,0.9981730281993164
Moving_Average_3,0.9957914518864986
Log_Close,0.9929605735792726
Close_Squared,0.9926828723780328
Moving_Average_5,0.9910798037620252
EMA,0.9851796290269225
Short_EMA,0.981746813359591
Rolling_Mean,0.9785788977047761
Moving_Average_10,0.9785788977047761
Upper_Band,0.9766584617415773
Close_Inverse,0.9732353714707029
Close_Cubed,0.9721117305267483
Moving_Average_15,0.9664683381604414
Long_EMA,0.9596913036794629
Lower_Band,0.9474929069877731
Expanding_Mean,0.8653975833754655
Signal_Line,0.6525161953354955
MACD,0.6359889640534735
Price_RoC_60,0.5849993009226946
Price_RoC_30,0.5129720144765334
Price_RoC_45,0.5013253468866451
Price_RoC_15,0.369872396768291
RS,0.3254453308715961
Price_RoC_12,0.31943631200032263
Rolling_Std,0.31328271611078956
Price_RoC_10,0.2806577366639974
RSI,0.27282230095735555
Price_RoC_7,0.21662256174585592
Price_RoC_5,0.16760157790664307
Std_Dev_RoC_10,0.14793307084651705
Gain,0.13001352866778196
Price_RoC_3,0.11641140962231651
Z_Score,0.09908198421430812
Price_Delta,0.06510764897962536
Log_Returns,0.05488640078999459
Price_RoC,0.054363642449830905
Cos_Close,0.051505052839183274
Loss,0.04875210208604589
Std_Dev_RoC_5,0.02875757343165235
Tan_Close,0.024069959455259932
Sin_Close,7.141340493293747e-05
