,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Squared,Close_Cubed,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Price_RoC_60,Lower_Band,Moving_Average_15,Price_RoC_45,Long_EMA,Signal_Line,MACD,Price_RoC_30,Price_RoC_15,Rolling_Std,RS,RSI,Price_RoC_12,Price_RoC_10,Std_Dev_RoC_5,Price_RoC_7,Z_Score,Price_RoC_5,Std_Dev_RoC_10,Price_RoC_3,Gain,Cos_Close,Price_RoC,Log_Returns,Price_Delta,Expanding_Mean,Sin_Close,Loss,Tan_Close
11,0.02,0.02,0.01,0.01,0.04,0.07,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.08,0.22,0.02,0.05,,0.03,,,,,0.44,0.61,0.55,,,0.53,,,,0.16,,1.66,,,,,,,1.19,
12,0.02,0.02,0.01,0.01,0.04,0.07,0.02,0.03,0.03,0.02,0.02,0.03,0.03,0.03,2.12,0.04,0.01,,,,,,1.1,0.25,0.4,0.16,0.56,0.29,0.31,0.54,0.54,0.66,0.27,1.29,1.21,0.47,2.31,2.35,2.37,,5.03,2.03,
13,0.07,0.07,0.03,0.02,0.14,0.21,0.07,0.07,0.07,0.05,0.04,0.05,0.05,0.03,,0.09,0.02,,0.03,,,,,0.32,0.65,0.4,,,0.29,,,,0.27,,2.01,2.45,,,,,,1.11,
14,0.03,0.03,0.01,0.01,0.05,0.08,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.05,,0.01,0.04,,0.03,,,,,0.33,0.45,0.33,,,0.4,,,,0.18,,1.62,10.84,,,,,,1.26,
15,0.04,0.04,0.02,0.01,0.08,0.12,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,,0.04,0.02,,0.03,,,,,0.17,0.2,0.13,,,0.46,,,,0.1,,1.73,,,,,,1.03,1.24,31.1
16,0.03,0.03,0.02,0.01,0.07,0.1,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.02,,,0.02,,0.02,,,,,0.13,0.39,0.25,,,0.54,,,47.16,0.27,8.05,1.26,1.36,6.86,7.93,7.96,,0.81,1.43,
17,0.02,0.02,0.01,0.01,0.04,0.06,0.02,0.03,0.03,0.02,0.02,0.03,0.03,0.03,,0.04,0.02,,0.01,,,,0.33,0.21,0.18,0.08,0.43,0.38,0.26,0.77,0.8,1.25,0.16,2.05,1.0,,3.85,4.07,4.22,,,2.0,3.28
18,0.05,0.05,0.03,0.01,0.1,0.15,0.05,0.05,0.04,0.03,0.03,0.02,0.02,0.05,,0.02,0.03,3.61,0.02,1.17,0.57,0.66,0.59,0.41,0.21,0.08,0.36,0.67,0.27,1.05,1.04,1.11,0.04,1.26,1.37,2.49,3.13,3.25,3.25,,12.27,1.7,1.46
19,0.08,0.08,0.04,0.02,0.15,0.22,0.08,0.08,0.09,0.07,0.07,0.06,0.06,0.1,0.85,0.04,0.06,0.45,0.05,0.37,0.33,0.23,0.38,0.37,0.36,0.09,0.27,0.27,0.37,0.49,0.48,0.8,0.11,1.19,1.06,,2.11,2.19,2.29,,0.94,2.27,
20,0.06,0.06,0.03,0.02,0.13,0.19,0.06,0.05,0.04,0.02,0.01,0.01,0.01,0.01,0.25,0.04,0.03,0.14,0.02,0.09,0.27,0.3,0.87,0.18,0.68,0.24,1.7,2.69,0.41,,,,0.43,,1.67,2.58,,,,,,1.34,6.09
21,0.04,0.04,0.02,0.01,0.08,0.12,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.06,0.19,0.03,0.04,0.34,0.02,0.74,9.55,0.93,,0.2,0.33,0.24,,,0.22,,,,0.43,,1.82,,,,,,1.36,1.41,3.84
22,0.03,0.03,0.01,0.01,0.05,0.08,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.24,0.02,0.02,0.61,0.01,,,,,0.13,0.32,0.19,,,0.65,,,,0.13,,1.22,3.71,20.23,27.51,27.32,,0.54,1.44,5.54
23,0.05,0.05,0.02,0.01,0.1,0.14,0.05,0.04,0.02,0.01,0.01,0.01,0.01,0.02,0.36,0.01,,,0.01,,,,,0.21,0.24,0.11,5.38,7.51,0.35,8.45,23.03,,0.21,,1.8,,,,,,4.07,1.37,
24,0.07,0.07,0.04,0.02,0.15,0.23,0.07,0.07,0.06,0.05,0.04,0.05,0.05,0.04,,0.07,0.04,,0.03,,,,,0.11,0.61,0.37,,,0.28,,,,0.14,,2.45,,,,,,2.89,1.34,
25,0.02,0.02,0.01,0.01,0.04,0.06,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.03,,,0.02,,0.01,,,,,0.22,0.05,0.04,,,0.31,,,,0.08,,1.59,1.41,,,,,0.1,1.65,4.56
