,Feature,Importance
16,Expanding_Mean,0.09485431
15,Long_EMA,0.009981709
5,Close_Inverse,0.004641579
9,Short_EMA,0.0041295504
0,Close,0.0040421844
14,Moving_Average_15,0.003977058
3,Log_Close,0.0032455684
4,Close_Squared,0.003041875
6,Moving_Average_3,0.0023330946
10,Rolling_Mean,0.0021794161
1,Cumulative_Returns,0.0020769197
2,Square_Root_Close,0.0019495247
13,Lower_Band,0.0018036466
12,Upper_Band,0.0014941834
7,Moving_Average_5,0.0014286818
8,EMA,0.001420481
11,Moving_Average_10,0.00095320644
