,Feature,Importance
17,Expanding_Mean,0.08840329
1,Close,0.013064826
4,Log_Close,0.012992675
16,Long_EMA,0.012130497
6,Close_Inverse,0.0074335732
3,Close_Squared,0.0067611164
12,Moving_Average_10,0.0053239213
14,Upper_Band,0.004657938
13,Lower_Band,0.0046301894
15,Moving_Average_15,0.0042993324
5,Close_Cubed,0.004131102
2,Square_Root_Close,0.0036144517
0,Cumulative_Returns,0.0033179764
7,Moving_Average_3,0.0032025953
9,EMA,0.0027913463
10,Short_EMA,0.0025910935
8,Moving_Average_5,0.0024797556
11,Rolling_Mean,0.0024522138
