,Close
Close,1.0
Cumulative_Returns,0.9999999999999994
Square_Root_Close,0.9998363170104292
Log_Close,0.9993515050726749
Close_Squared,0.9993469659964104
Close_Cubed,0.9973993647490439
Close_Inverse,0.9973868004435739
Moving_Average_3,0.9852687106398016
Moving_Average_5,0.9706183223830309
EMA,0.9518790946466068
Short_EMA,0.9394723889488161
Rolling_Mean,0.9350115705545146
Moving_Average_10,0.9350115705545146
Lower_Band,0.914011841514254
Upper_Band,0.9103810513772335
Moving_Average_15,0.8908652280193464
Long_EMA,0.8400823643351155
Price_RoC_60,0.8099723259302775
Signal_Line,0.7653350720327354
Price_RoC_45,0.7581747615416732
MACD,0.7517959973874604
Price_RoC_30,0.7127374034692274
RS,0.558392818741021
Price_RoC_15,0.5416953616061478
RSI,0.5218009144571558
Price_RoC_12,0.4825150805841254
Price_RoC_10,0.4339515997659327
Price_RoC_7,0.35791543706122986
Z_Score,0.33567547167307205
Price_RoC_5,0.29957282736776614
Price_RoC_3,0.22290304208417336
Price_Delta,0.1195175231799718
Log_Returns,0.11909983916461525
Price_RoC,0.11872920529636742
Cos_Close,0.11069585495184406
Loss,0.10500903049962457
Gain,0.09457711330331761
Std_Dev_RoC_10,0.08653011357633676
Expanding_Mean,0.07053595474146487
Rolling_Std,0.05875972460180551
Sin_Close,0.0442340076300091
Std_Dev_RoC_5,0.028131327379291797
Tan_Close,0.01088779167399028
