,Close
Cumulative_Returns,1.0000000000000007
Close,1.0
Square_Root_Close,0.9986609049520017
Close_Squared,0.9953212481200672
Moving_Average_3,0.9950309337997132
Log_Close,0.9946032206030396
Moving_Average_5,0.9889553691532221
Close_Cubed,0.983197624246655
EMA,0.9816181737948233
Short_EMA,0.9775484646476046
Close_Inverse,0.9769502752269295
Rolling_Mean,0.9730107112856289
Moving_Average_10,0.9730107112856289
Upper_Band,0.9720824397492694
Moving_Average_15,0.9580534722698105
Long_EMA,0.9564405701404943
Expanding_Mean,0.9229150024408513
Lower_Band,0.9133749636738598
Price_RoC_60,0.7978764960413325
Signal_Line,0.7114818134705275
MACD,0.6402674755202941
Price_RoC_45,0.625591586621107
Price_RoC_30,0.505808223787779
Rolling_Std,0.44564020712220137
Price_RoC_15,0.3374912079876787
Std_Dev_RoC_10,0.3129263077102207
Price_RoC_12,0.2852321848104872
RSI,0.2812459799069759
RS,0.27690491616979257
Price_RoC_10,0.24853768185689806
Price_RoC_7,0.19706234279715917
Gain,0.19042633759373165
Price_RoC_5,0.1585900083030929
Z_Score,0.15414773837316517
Loss,0.14890873716457456
Std_Dev_RoC_5,0.12618759695330903
Price_RoC_3,0.11944241918392055
Price_Delta,0.06694902197560947
Tan_Close,0.06610344058164316
Price_RoC,0.06483150064911773
Log_Returns,0.061036183978231136
Sin_Close,0.012813849480704404
Cos_Close,0.0005931167060676589
