,Feature,Importance
17,Expanding_Mean,0.08240135
15,Long_EMA,0.016306844
4,Log_Close,0.0055449577
10,Short_EMA,0.0054196827
6,Moving_Average_5,0.0051842523
13,Moving_Average_10,0.0049977964
14,Moving_Average_15,0.004655725
16,Lower_Band,0.004160254
8,Close_Inverse,0.0041290424
0,Close,0.0035717934
12,Rolling_Mean,0.0034658518
11,Upper_Band,0.0033764052
5,Moving_Average_3,0.0030809962
3,Close_Squared,0.003002147
2,Square_Root_Close,0.002966428
7,Close_Cubed,0.0029357602
1,Cumulative_Returns,0.0017926691
9,EMA,0.0016595693
