,Close,Cumulative_Returns,Moving_Average_3,Moving_Average_5,Square_Root_Close,Upper_Band,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Close_Squared,Log_Close,Lower_Band,Expanding_Mean,Close_Cubed,Close_Inverse,Signal_Line,MACD,Rolling_Std,Price_RoC_30,Price_RoC_45,Price_RoC_60,Price_RoC_15,RSI,Gain,Price_RoC_12,RS,Std_Dev_RoC_10,Price_RoC_10,Loss,Price_RoC_7,Z_Score,Price_Delta,Price_RoC_5,Tan_Close,Price_RoC_3,Sin_Close,Cos_Close,Log_Returns,Price_RoC,Std_Dev_RoC_5
10,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.01,0.02,0.01,0.09,0.03,0.02,0.05,0.12,0.16,0.09,0.11,0.27,0.05,1.64,0.48,0.16,0.19,0.78,1.99,0.72,0.86,8.37,1.51,2.97,3.99,,,8.62,8.04,0.33
11,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.04,,0.01,0.01,0.07,0.02,0.21,0.37,0.17,0.22,0.19,0.08,3.29,0.19,1.62,,0.43,0.14,,1.33,,,,,2.19,,2.45,2.55,,,0.35
12,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,,0.01,0.04,,0.02,0.01,0.06,0.02,0.06,0.15,0.24,0.7,0.2,0.11,1.19,0.09,1.0,0.68,0.18,0.25,0.69,1.85,1.27,1.76,13.59,2.6,2.54,4.0,,,13.15,11.57,0.28
13,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.04,,0.02,0.01,0.06,0.02,0.67,2.86,0.13,,0.83,0.36,,0.3,1.58,,0.51,0.27,,1.04,,,,,,,4.72,2.09,,,0.33
14,0.03,0.03,0.03,0.03,0.01,0.03,0.03,0.02,0.03,0.03,0.02,0.01,0.06,0.01,0.04,0.01,0.08,0.03,0.79,0.64,0.13,0.41,0.4,0.19,0.72,0.15,1.51,0.58,0.5,0.17,0.51,2.05,0.24,0.41,2.85,0.49,,1.09,,,2.82,2.78,0.35
15,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.08,0.01,0.03,0.01,0.12,0.04,0.45,1.5,0.15,,1.89,1.31,,0.3,1.89,,0.6,0.14,,1.04,,,,,4.0,,15.53,,,,0.43
16,0.03,0.03,0.04,0.05,0.01,0.04,0.03,0.03,0.04,0.04,0.01,0.02,0.06,0.01,0.05,0.01,0.08,0.03,0.88,0.83,0.23,0.27,0.39,0.43,1.22,0.16,1.64,0.76,0.41,0.22,0.69,2.11,0.5,0.25,2.09,0.63,4.59,0.91,41.66,4032.46,2.15,2.17,0.3
17,0.02,0.02,0.02,0.03,0.01,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.04,,0.03,0.01,0.05,0.02,0.22,0.13,0.1,0.13,0.2,0.09,0.29,0.05,0.88,0.43,0.24,0.16,0.16,2.72,0.31,0.22,1.42,0.35,,0.72,69.77,2.68,1.43,1.42,0.18
18,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.01,0.03,0.01,0.12,0.04,0.13,0.35,0.42,0.24,0.39,0.23,2.13,0.3,2.2,20.92,0.75,0.28,,1.16,,,,,3.03,,,5.98,,,0.31
19,0.03,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.02,0.01,0.08,0.03,0.25,0.25,0.23,0.42,0.47,0.16,,0.13,1.24,,0.23,0.21,9.95,2.24,2.95,1.24,1.46,1.65,2.08,0.74,,,1.46,1.46,0.62
20,0.04,0.04,0.04,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.01,,0.08,0.01,0.02,0.01,0.12,0.04,0.3,0.95,0.24,,0.53,0.59,2.52,0.33,1.84,3.77,1.29,0.1,,1.4,,,,,,,0.8,10.52,,,0.51
21,0.02,0.02,0.01,0.01,0.01,0.02,,,0.01,0.01,0.01,,0.03,,0.01,0.01,0.05,0.02,4.38,,0.28,,1.73,0.22,,0.2,1.11,,0.33,0.34,,1.8,5.15,4.05,28.58,2.23,,4.33,,,28.57,21.73,0.43
22,0.12,0.12,0.09,0.07,0.06,0.11,0.05,0.05,0.04,0.04,0.03,0.03,0.26,0.03,0.05,0.01,0.41,0.11,1.37,1.23,0.9,1.1,1.7,0.59,1.09,0.2,1.63,1.1,0.86,0.83,1.12,1.96,1.11,0.58,1.84,1.23,8.04,1.16,,5.34,1.77,1.8,0.98
23,0.02,0.02,0.01,0.03,0.01,0.04,0.04,0.04,0.07,0.07,0.06,0.04,0.03,,0.19,0.01,0.05,0.02,0.26,0.08,0.61,0.15,0.06,0.07,0.07,0.02,1.34,0.2,0.16,0.25,0.51,1.5,0.98,0.51,6.11,1.33,17.51,2.47,2.75,,6.16,5.85,0.61
24,0.03,0.03,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.05,0.01,0.01,0.01,0.08,0.02,0.07,0.11,0.32,0.11,0.16,0.2,1.03,0.16,1.11,1.11,0.49,0.62,1.28,1.81,2.02,2.08,47.43,1.93,2.82,2.71,4.84,35.13,46.83,32.38,0.61
25,0.01,0.01,,,0.01,,,,0.01,0.01,,0.01,0.02,,0.01,,0.03,0.01,0.05,0.07,0.16,0.04,0.04,0.02,0.76,0.08,1.54,0.82,0.18,0.06,0.54,1.57,0.95,2.58,8.65,,299.39,,,,8.61,8.17,0.13
